CISP;mes;ano;mes_ano;AISP;RISP;munic;mcirc;Regiao;roubo_carga
1;1;2003;2003m1;5;1;Rio de Janeiro;3304557;Capital;1
1;2;2003;2003m2;5;1;Rio de Janeiro;3304557;Capital;6
1;3;2003;2003m3;5;1;Rio de Janeiro;3304557;Capital;5
1;4;2003;2003m4;5;1;Rio de Janeiro;3304557;Capital;4
1;5;2003;2003m5;5;1;Rio de Janeiro;3304557;Capital;1
1;6;2003;2003m6;5;1;Rio de Janeiro;3304557;Capital;3
1;7;2003;2003m7;5;1;Rio de Janeiro;3304557;Capital;5
1;8;2003;2003m8;5;1;Rio de Janeiro;3304557;Capital;2
1;9;2003;2003m9;5;1;Rio de Janeiro;3304557;Capital;0
1;10;2003;2003m10;5;1;Rio de Janeiro;3304557;Capital;5
1;11;2003;2003m11;5;1;Rio de Janeiro;3304557;Capital;7
1;12;2003;2003m12;5;1;Rio de Janeiro;3304557;Capital;4
1;1;2004;2004m1;5;1;Rio de Janeiro;3304557;Capital;1
1;2;2004;2004m2;5;1;Rio de Janeiro;3304557;Capital;2
1;3;2004;2004m3;5;1;Rio de Janeiro;3304557;Capital;4
1;4;2004;2004m4;5;1;Rio de Janeiro;3304557;Capital;3
1;5;2004;2004m5;5;1;Rio de Janeiro;3304557;Capital;0
1;6;2004;2004m6;5;1;Rio de Janeiro;3304557;Capital;1
1;7;2004;2004m7;5;1;Rio de Janeiro;3304557;Capital;1
1;8;2004;2004m8;5;1;Rio de Janeiro;3304557;Capital;3
1;9;2004;2004m9;5;1;Rio de Janeiro;3304557;Capital;3
1;10;2004;2004m10;5;1;Rio de Janeiro;3304557;Capital;0
1;11;2004;2004m11;5;1;Rio de Janeiro;3304557;Capital;2
1;12;2004;2004m12;5;1;Rio de Janeiro;3304557;Capital;5
1;1;2005;2005m1;5;1;Rio de Janeiro;3304557;Capital;0
1;2;2005;2005m2;5;1;Rio de Janeiro;3304557;Capital;1
1;3;2005;2005m3;5;1;Rio de Janeiro;3304557;Capital;11
1;4;2005;2005m4;5;1;Rio de Janeiro;3304557;Capital;3
1;5;2005;2005m5;5;1;Rio de Janeiro;3304557;Capital;1
1;6;2005;2005m6;5;1;Rio de Janeiro;3304557;Capital;3
1;7;2005;2005m7;5;1;Rio de Janeiro;3304557;Capital;5
1;8;2005;2005m8;5;1;Rio de Janeiro;3304557;Capital;4
1;9;2005;2005m9;5;1;Rio de Janeiro;3304557;Capital;6
1;10;2005;2005m10;5;1;Rio de Janeiro;3304557;Capital;2
1;11;2005;2005m11;5;1;Rio de Janeiro;3304557;Capital;3
1;12;2005;2005m12;5;1;Rio de Janeiro;3304557;Capital;0
1;1;2006;2006m1;5;1;Rio de Janeiro;3304557;Capital;7
1;2;2006;2006m2;5;1;Rio de Janeiro;3304557;Capital;1
1;3;2006;2006m3;5;1;Rio de Janeiro;3304557;Capital;2
1;4;2006;2006m4;5;1;Rio de Janeiro;3304557;Capital;6
1;5;2006;2006m5;5;1;Rio de Janeiro;3304557;Capital;7
1;6;2006;2006m6;5;1;Rio de Janeiro;3304557;Capital;4
1;7;2006;2006m7;5;1;Rio de Janeiro;3304557;Capital;6
1;8;2006;2006m8;5;1;Rio de Janeiro;3304557;Capital;14
1;9;2006;2006m9;5;1;Rio de Janeiro;3304557;Capital;5
1;10;2006;2006m10;5;1;Rio de Janeiro;3304557;Capital;5
1;11;2006;2006m11;5;1;Rio de Janeiro;3304557;Capital;7
1;12;2006;2006m12;5;1;Rio de Janeiro;3304557;Capital;8
1;1;2007;2007m1;5;1;Rio de Janeiro;3304557;Capital;4
1;2;2007;2007m2;5;1;Rio de Janeiro;3304557;Capital;15
1;3;2007;2007m3;5;1;Rio de Janeiro;3304557;Capital;12
1;4;2007;2007m4;5;1;Rio de Janeiro;3304557;Capital;8
1;5;2007;2007m5;5;1;Rio de Janeiro;3304557;Capital;12
1;6;2007;2007m6;5;1;Rio de Janeiro;3304557;Capital;9
1;7;2007;2007m7;5;1;Rio de Janeiro;3304557;Capital;14
1;8;2007;2007m8;5;1;Rio de Janeiro;3304557;Capital;6
1;9;2007;2007m9;5;1;Rio de Janeiro;3304557;Capital;13
1;10;2007;2007m10;5;1;Rio de Janeiro;3304557;Capital;11
1;11;2007;2007m11;5;1;Rio de Janeiro;3304557;Capital;8
1;12;2007;2007m12;5;1;Rio de Janeiro;3304557;Capital;6
1;1;2008;2008m1;5;1;Rio de Janeiro;3304557;Capital;11
