CISP;ano;mes;roubo_carga;LAT;LONG;Nome das CISP’s;mes/ano
CISP38 (Brás de Pina);2003;9;34.0;-22.83669;-43.316752;Brás de Pina;9/2003
CISP44 (Inhaúma);2004;12;72.0;-22.873873;-43.285441;Inhaúma;12/2004
CISP21 (Bonsucesso);2005;12;51.0;-22.872607;-43.258285;Bonsucesso;12/2005
CISP21 (Bonsucesso);2006;11;44.0;-22.872607;-43.258285;Bonsucesso;11/2006
CISP21 (Bonsucesso);2007;3;51.0;-22.872607;-43.258285;Bonsucesso;3/2007
CISP39 (Pavuna);2008;12;44.0;-22.805977;-43.363983;Pavuna;12/2008
CISP59 (Duque de Caxias);2009;2;27.0;-22.79676;-43.304336;Duque de Caxias;2/2009
CISP59 (Duque de Caxias);2010;11;40.0;-22.79676;-43.304336;Duque de Caxias;11/2010
CISP59 (Duque de Caxias);2011;5;44.0;-22.79676;-43.304336;Duque de Caxias;5/2011
CISP39 (Pavuna);2012;2;48.0;-22.805977;-43.363983;Pavuna;2/2012
CISP39 (Pavuna);2013;12;73.0;-22.805977;-43.363983;Pavuna;12/2013
CISP39 (Pavuna);2014;1;65.0;-22.805977;-43.363983;Pavuna;1/2014
CISP39 (Pavuna);2015;11;84.0;-22.805977;-43.363983;Pavuna;11/2015
CISP31 (Ricardo de Albuquerque);2016;12;128.0;-22.836617;-43.396907;Ricardo de Albuquerque;12/2016
CISP59 (Duque de Caxias);2017;11;95.0;-22.79676;-43.304336;Duque de Caxias;11/2017
CISP72 (São Gonçalo);2018;3;103.0;-22.820745;-43.043631;São Gonçalo;3/2018
CISP59 (Duque de Caxias);2019;1;82.0;-22.79676;-43.304336;Duque de Caxias;1/2019
