CISP;ano;mes;roubo_carga;LAT;LONG;Nome das CISP’s;mes/ano
CISP4 (Praça da República);2003;1;0.012397172810728116;-22.903061;-43.186131;Praça da República;1/2003
CISP4 (Praça da República);2003;2;0.022384556811407236;-22.903061;-43.186131;Praça da República;2/2003
CISP4 (Praça da República);2003;3;0.0;-22.903061;-43.186131;Praça da República;3/2003
CISP4 (Praça da República);2003;4;0.013313040541968604;-22.903061;-43.186131;Praça da República;4/2003
CISP4 (Praça da República);2003;5;0.021504724455439238;-22.903061;-43.186131;Praça da República;5/2003
CISP4 (Praça da República);2003;6;0.011965167608788317;-22.903061;-43.186131;Praça da República;6/2003
CISP4 (Praça da República);2003;7;0.03572164682777513;-22.903061;-43.186131;Praça da República;7/2003
CISP4 (Praça da República);2003;8;0.014265226852900971;-22.903061;-43.186131;Praça da República;8/2003
CISP4 (Praça da República);2003;9;0.0;-22.903061;-43.186131;Praça da República;9/2003
CISP4 (Praça da República);2003;10;0.03292065356182377;-22.903061;-43.186131;Praça da República;10/2003
CISP4 (Praça da República);2003;11;0.053938078738405455;-22.903061;-43.186131;Praça da República;11/2003
CISP4 (Praça da República);2003;12;0.1394754667296491;-22.903061;-43.186131;Praça da República;12/2003
CISP4 (Praça da República);2004;1;0.044989736893373655;-22.903061;-43.186131;Praça da República;1/2004
CISP4 (Praça da República);2004;2;0.09618634660729988;-22.903061;-43.186131;Praça da República;2/2004
CISP4 (Praça da República);2004;3;0.08231958511142355;-22.903061;-43.186131;Praça da República;3/2004
CISP4 (Praça da República);2004;4;0.045073158312257035;-22.903061;-43.186131;Praça da República;4/2004
CISP4 (Praça da República);2004;5;0.07971870437537024;-22.903061;-43.186131;Praça da República;5/2004
CISP4 (Praça da República);2004;6;0.04813751729431371;-22.903061;-43.186131;Praça da República;6/2004
CISP4 (Praça da República);2004;7;0.06857435159141403;-22.903061;-43.186131;Praça da República;7/2004
CISP4 (Praça da República);2004;8;0.04543553804788693;-22.903061;-43.186131;Praça da República;8/2004
CISP4 (Praça da República);2004;9;0.08183595623703191;-22.903061;-43.186131;Praça da República;9/2004
CISP4 (Praça da República);2004;10;0.010152734032728913;-22.903061;-43.186131;Praça da República;10/2004
CISP4 (Praça da República);2004;11;0.041336250534450135;-22.903061;-43.186131;Praça da República;11/2004
CISP4 (Praça da República);2004;12;0.04050210563449936;-22.903061;-43.186131;Praça da República;12/2004
CISP4 (Praça da República);2005;1;0.043669663331048186;-22.903061;-43.186131;Praça da República;1/2005
CISP4 (Praça da República);2005;2;0.03934944136177493;-22.903061;-43.186131;Praça da República;2/2005
CISP4 (Praça da República);2005;3;0.03935296404815842;-22.903061;-43.186131;Praça da República;3/2005
CISP4 (Praça da República);2005;4;0.06131728116933406;-22.903061;-43.186131;Praça da República;4/2005
CISP4 (Praça da República);2005;5;0.06258618911269509;-22.903061;-43.186131;Praça da República;5/2005
CISP4 (Praça da República);2005;6;0.0777400227381787;-22.903061;-43.186131;Praça da República;6/2005
CISP4 (Praça da República);2005;7;0.10078738794665379;-22.903061;-43.186131;Praça da República;7/2005
CISP4 (Praça da República);2005;8;0.11809851227219051;-22.903061;-43.186131;Praça da República;8/2005
CISP4 (Praça da República);2005;9;0.04228783205549669;-22.903061;-43.186131;Praça da República;9/2005
CISP4 (Praça da República);2005;10;0.09052356912744913;-22.903061;-43.186131;Praça da República;10/2005
CISP4 (Praça da República);2005;11;0.03881916177012056;-22.903061;-43.186131;Praça da República;11/2005
CISP4 (Praça da República);2005;12;0.047698327042774206;-22.903061;-43.186131;Praça da República;12/2005
CISP4 (Praça da República);2006;1;0.03963457866943487;-22.903061;-43.186131;Praça da República;1/2006
CISP4 (Praça da República);2006;2;0.057559840851439704;-22.903061;-43.186131;Praça da República;2/2006
CISP4 (Praça da República);2006;3;0.02383006890526949;-22.903061;-43.186131;Praça da República;3/2006
CISP4 (Praça da República);2006;4;0.03425022393723093;-22.903061;-43.186131;Praça da República;4/2006
CISP4 (Praça da República);2006;5;0.022219719305996463;-22.903061;-43.186131;Praça da República;5/2006
CISP4 (Praça da República);2006;6;0.0;-22.903061;-43.186131;Praça da República;6/2006
CISP4 (Praça da República);2006;7;0.04035673825114794;-22.903061;-43.186131;Praça da República;7/2006
CISP4 (Praça da República);2006;8;0.011143797510180643;-22.903061;-43.186131;Praça da República;8/2006
CISP4 (Praça da República);2006;9;0.0;-22.903061;-43.186131;Praça da República;9/2006
CISP4 (Praça da República);2006;10;0.021676977710475706;-22.903061;-43.186131;Praça da República;10/2006
CISP4 (Praça da República);2006;11;0.010394589179189168;-22.903061;-43.186131;Praça da República;11/2006
CISP4 (Praça da República);2006;12;0.010154463904808968;-22.903061;-43.186131;Praça da República;12/2006
CISP4 (Praça da República);2007;1;0.028744192048639657;-22.903061;-43.186131;Praça da República;1/2007
CISP4 (Praça da República);2007;2;0.015066132022146779;-22.903061;-43.186131;Praça da República;2/2007
CISP4 (Praça da República);2007;3;0.008096677164172048;-22.903061;-43.186131;Praça da República;3/2007
CISP4 (Praça da República);2007;4;0.0;-22.903061;-43.186131;Praça da República;4/2007
CISP4 (Praça da República);2007;5;0.02017785385547393;-22.903061;-43.186131;Praça da República;5/2007
CISP4 (Praça da República);2007;6;0.04437944760557514;-22.903061;-43.186131;Praça da República;6/2007
CISP4 (Praça da República);2007;7;0.06566882866383694;-22.903061;-43.186131;Praça da República;7/2007
CISP4 (Praça da República);2007;8;0.05598202955484975;-22.903061;-43.186131;Praça da República;8/2007
CISP4 (Praça da República);2007;9;0.0;-22.903061;-43.186131;Praça da República;9/2007
CISP4 (Praça da República);2007;10;0.013945290132588727;-22.903061;-43.186131;Praça da República;10/2007
CISP4 (Praça da República);2007;11;0.021131072568265314;-22.903061;-43.186131;Praça da República;11/2007
CISP4 (Praça da República);2007;12;0.022575799197325757;-22.903061;-43.186131;Praça da República;12/2007
CISP4 (Praça da República);2008;1;0.04549758498663342;-22.903061;-43.186131;Praça da República;1/2008
CISP4 (Praça da República);2008;2;0.018947190307155765;-22.903061;-43.186131;Praça da República;2/2008
CISP4 (Praça da República);2008;3;0.0169631040543626;-22.903061;-43.186131;Praça da República;3/2008
CISP4 (Praça da República);2008;4;0.049248697928422173;-22.903061;-43.186131;Praça da República;4/2008
CISP4 (Praça da República);2008;5;0.015209079248602025;-22.903061;-43.186131;Praça da República;5/2008
CISP4 (Praça da República);2008;6;0.01972173396251936;-22.903061;-43.186131;Praça da República;6/2008
CISP4 (Praça da República);2008;7;0.0;-22.903061;-43.186131;Praça da República;7/2008
CISP4 (Praça da República);2008;8;0.04998998312327673;-22.903061;-43.186131;Praça da República;8/2008
CISP4 (Praça da República);2008;9;0.0;-22.903061;-43.186131;Praça da República;9/2008
CISP4 (Praça da República);2008;10;0.05164907911246036;-22.903061;-43.186131;Praça da República;10/2008
CISP4 (Praça da República);2008;11;0.019191979709501723;-22.903061;-43.186131;Praça da República;11/2008
CISP4 (Praça da República);2008;12;0.03176972885092458;-22.903061;-43.186131;Praça da República;12/2008
CISP4 (Praça da República);2009;1;0.0601562556194292;-22.903061;-43.186131;Praça da República;1/2009
CISP4 (Praça da República);2009;2;0.0;-22.903061;-43.186131;Praça da República;2/2009
CISP4 (Praça da República);2009;3;0.0;-22.903061;-43.186131;Praça da República;3/2009
CISP4 (Praça da República);2009;4;0.057827579287783176;-22.903061;-43.186131;Praça da República;4/2009
CISP4 (Praça da República);2009;5;0.01810456901142303;-22.903061;-43.186131;Praça da República;5/2009
CISP4 (Praça da República);2009;6;0.04491211507432393;-22.903061;-43.186131;Praça da República;6/2009
CISP4 (Praça da República);2009;7;0.021869378493285126;-22.903061;-43.186131;Praça da República;7/2009
CISP4 (Praça da República);2009;8;0.058390106437278065;-22.903061;-43.186131;Praça da República;8/2009
CISP4 (Praça da República);2009;9;0.03541963965874115;-22.903061;-43.186131;Praça da República;9/2009
CISP4 (Praça da República);2009;10;0.0;-22.903061;-43.186131;Praça da República;10/2009
CISP4 (Praça da República);2009;11;0.019212543691811444;-22.903061;-43.186131;Praça da República;11/2009
CISP4 (Praça da República);2009;12;0.016644759975675705;-22.903061;-43.186131;Praça da República;12/2009
CISP4 (Praça da República);2010;1;0.05172720056224999;-22.903061;-43.186131;Praça da República;1/2010
CISP4 (Praça da República);2010;2;0.03523620950746312;-22.903061;-43.186131;Praça da República;2/2010
CISP4 (Praça da República);2010;3;0.03497991586482703;-22.903061;-43.186131;Praça da República;3/2010
CISP4 (Praça da República);2010;4;0.0;-22.903061;-43.186131;Praça da República;4/2010
CISP4 (Praça da República);2010;5;0.03765430521274003;-22.903061;-43.186131;Praça da República;5/2010
CISP4 (Praça da República);2010;6;0.02020716797711412;-22.903061;-43.186131;Praça da República;6/2010
CISP4 (Praça da República);2010;7;0.0;-22.903061;-43.186131;Praça da República;7/2010
CISP4 (Praça da República);2010;8;0.044388368875386;-22.903061;-43.186131;Praça da República;8/2010
CISP4 (Praça da República);2010;9;0.0;-22.903061;-43.186131;Praça da República;9/2010
CISP4 (Praça da República);2010;10;0.04779282259722282;-22.903061;-43.186131;Praça da República;10/2010
CISP4 (Praça da República);2010;11;0.0387773957490825;-22.903061;-43.186131;Praça da República;11/2010
CISP4 (Praça da República);2010;12;0.0;-22.903061;-43.186131;Praça da República;12/2010
CISP4 (Praça da República);2011;1;0.0;-22.903061;-43.186131;Praça da República;1/2011
CISP4 (Praça da República);2011;2;0.0376867883962469;-22.903061;-43.186131;Praça da República;2/2011
CISP4 (Praça da República);2011;3;0.021953895500307304;-22.903061;-43.186131;Praça da República;3/2011
CISP4 (Praça da República);2011;4;0.0;-22.903061;-43.186131;Praça da República;4/2011
CISP4 (Praça da República);2011;5;0.0;-22.903061;-43.186131;Praça da República;5/2011
CISP4 (Praça da República);2011;6;0.021800978088391428;-22.903061;-43.186131;Praça da República;6/2011
CISP4 (Praça da República);2011;7;0.02140483950015421;-22.903061;-43.186131;Praça da República;7/2011
CISP4 (Praça da República);2011;8;0.0;-22.903061;-43.186131;Praça da República;8/2011
CISP4 (Praça da República);2011;9;0.055120845972134326;-22.903061;-43.186131;Praça da República;9/2011
CISP4 (Praça da República);2011;10;0.0;-22.903061;-43.186131;Praça da República;10/2011
CISP4 (Praça da República);2011;11;0.01613797726265565;-22.903061;-43.186131;Praça da República;11/2011
CISP4 (Praça da República);2011;12;0.016388721294777874;-22.903061;-43.186131;Praça da República;12/2011
CISP4 (Praça da República);2012;1;0.018678678992802296;-22.903061;-43.186131;Praça da República;1/2012
CISP4 (Praça da República);2012;2;0.01758667453862115;-22.903061;-43.186131;Praça da República;2/2012
CISP4 (Praça da República);2012;3;0.0;-22.903061;-43.186131;Praça da República;3/2012
CISP4 (Praça da República);2012;4;0.018543766041291307;-22.903061;-43.186131;Praça da República;4/2012
CISP4 (Praça da República);2012;5;0.0;-22.903061;-43.186131;Praça da República;5/2012
CISP4 (Praça da República);2012;6;0.038072809266939116;-22.903061;-43.186131;Praça da República;6/2012
CISP4 (Praça da República);2012;7;0.019687296438416307;-22.903061;-43.186131;Praça da República;7/2012
CISP4 (Praça da República);2012;8;0.014858896723248841;-22.903061;-43.186131;Praça da República;8/2012
CISP4 (Praça da República);2012;9;0.01982776406565495;-22.903061;-43.186131;Praça da República;9/2012
CISP4 (Praça da República);2012;10;0.034542372088919984;-22.903061;-43.186131;Praça da República;10/2012
CISP4 (Praça da República);2012;11;0.0;-22.903061;-43.186131;Praça da República;11/2012
CISP4 (Praça da República);2012;12;0.014392465346145028;-22.903061;-43.186131;Praça da República;12/2012
CISP4 (Praça da República);2013;1;0.03309526306039431;-22.903061;-43.186131;Praça da República;1/2013
CISP4 (Praça da República);2013;2;0.0;-22.903061;-43.186131;Praça da República;2/2013
CISP4 (Praça da República);2013;3;0.0;-22.903061;-43.186131;Praça da República;3/2013
CISP4 (Praça da República);2013;4;0.0;-22.903061;-43.186131;Praça da República;4/2013
CISP4 (Praça da República);2013;5;0.035378149181007054;-22.903061;-43.186131;Praça da República;5/2013
CISP4 (Praça da República);2013;6;0.02322066206531341;-22.903061;-43.186131;Praça da República;6/2013
CISP4 (Praça da República);2013;7;0.020368117069042697;-22.903061;-43.186131;Praça da República;7/2013
CISP4 (Praça da República);2013;8;0.0;-22.903061;-43.186131;Praça da República;8/2013
CISP4 (Praça da República);2013;9;0.0;-22.903061;-43.186131;Praça da República;9/2013
CISP4 (Praça da República);2013;10;0.016749340685212152;-22.903061;-43.186131;Praça da República;10/2013
CISP4 (Praça da República);2013;11;0.01712082144088061;-22.903061;-43.186131;Praça da República;11/2013
CISP4 (Praça da República);2013;12;0.012918397936619558;-22.903061;-43.186131;Praça da República;12/2013
CISP4 (Praça da República);2014;1;0.030014423205497416;-22.903061;-43.186131;Praça da República;1/2014
CISP4 (Praça da República);2014;2;0.02258173642949682;-22.903061;-43.186131;Praça da República;2/2014
CISP4 (Praça da República);2014;3;0.03512770348073206;-22.903061;-43.186131;Praça da República;3/2014
CISP4 (Praça da República);2014;4;0.013912850866722127;-22.903061;-43.186131;Praça da República;4/2014
CISP4 (Praça da República);2014;5;0.026213123798391948;-22.903061;-43.186131;Praça da República;5/2014
CISP4 (Praça da República);2014;6;0.012461334988297422;-22.903061;-43.186131;Praça da República;6/2014
CISP4 (Praça da República);2014;7;0.010476518815899656;-22.903061;-43.186131;Praça da República;7/2014
CISP4 (Praça da República);2014;8;0.0;-22.903061;-43.186131;Praça da República;8/2014
CISP4 (Praça da República);2014;9;0.023552758214317553;-22.903061;-43.186131;Praça da República;9/2014
CISP4 (Praça da República);2014;10;0.02729009351583153;-22.903061;-43.186131;Praça da República;10/2014
CISP4 (Praça da República);2014;11;0.025363574350657447;-22.903061;-43.186131;Praça da República;11/2014
CISP4 (Praça da República);2014;12;0.02671475953281264;-22.903061;-43.186131;Praça da República;12/2014
CISP4 (Praça da República);2015;1;0.02055787291460964;-22.903061;-43.186131;Praça da República;1/2015
CISP4 (Praça da República);2015;2;0.03022450009502213;-22.903061;-43.186131;Praça da República;2/2015
CISP4 (Praça da República);2015;3;0.038090657566145325;-22.903061;-43.186131;Praça da República;3/2015
CISP4 (Praça da República);2015;4;0.0;-22.903061;-43.186131;Praça da República;4/2015
