CISP;ano;mes;roubo_carga;LAT;LONG;Nome das CISP’s;mes/ano
CISP1 (Praça Mauá);2003;1;0.0013054830287206266;-22.902876;-43.191611;Praça Mauá;1/2003
CISP1 (Praça Mauá);2003;2;0.007832898172323759;-22.902876;-43.191611;Praça Mauá;2/2003
CISP1 (Praça Mauá);2003;3;0.006527415143603133;-22.902876;-43.191611;Praça Mauá;3/2003
CISP1 (Praça Mauá);2003;4;0.005221932114882507;-22.902876;-43.191611;Praça Mauá;4/2003
CISP1 (Praça Mauá);2003;5;0.0013054830287206266;-22.902876;-43.191611;Praça Mauá;5/2003
CISP1 (Praça Mauá);2003;6;0.0039164490861618795;-22.902876;-43.191611;Praça Mauá;6/2003
CISP1 (Praça Mauá);2003;7;0.006527415143603133;-22.902876;-43.191611;Praça Mauá;7/2003
CISP1 (Praça Mauá);2003;8;0.0026109660574412533;-22.902876;-43.191611;Praça Mauá;8/2003
CISP1 (Praça Mauá);2003;9;0.0;-22.902876;-43.191611;Praça Mauá;9/2003
CISP1 (Praça Mauá);2003;10;0.006527415143603133;-22.902876;-43.191611;Praça Mauá;10/2003
CISP1 (Praça Mauá);2003;11;0.009138381201044387;-22.902876;-43.191611;Praça Mauá;11/2003
CISP1 (Praça Mauá);2003;12;0.005221932114882507;-22.902876;-43.191611;Praça Mauá;12/2003
CISP1 (Praça Mauá);2004;1;0.0013054830287206266;-22.902876;-43.191611;Praça Mauá;1/2004
CISP1 (Praça Mauá);2004;2;0.0026109660574412533;-22.902876;-43.191611;Praça Mauá;2/2004
CISP1 (Praça Mauá);2004;3;0.005221932114882507;-22.902876;-43.191611;Praça Mauá;3/2004
CISP1 (Praça Mauá);2004;4;0.0039164490861618795;-22.902876;-43.191611;Praça Mauá;4/2004
CISP1 (Praça Mauá);2004;5;0.0;-22.902876;-43.191611;Praça Mauá;5/2004
CISP1 (Praça Mauá);2004;6;0.0013054830287206266;-22.902876;-43.191611;Praça Mauá;6/2004
CISP1 (Praça Mauá);2004;7;0.0013054830287206266;-22.902876;-43.191611;Praça Mauá;7/2004
CISP1 (Praça Mauá);2004;8;0.0039164490861618795;-22.902876;-43.191611;Praça Mauá;8/2004
CISP1 (Praça Mauá);2004;9;0.0039164490861618795;-22.902876;-43.191611;Praça Mauá;9/2004
CISP1 (Praça Mauá);2004;10;0.0;-22.902876;-43.191611;Praça Mauá;10/2004
CISP1 (Praça Mauá);2004;11;0.0026109660574412533;-22.902876;-43.191611;Praça Mauá;11/2004
CISP1 (Praça Mauá);2004;12;0.006527415143603133;-22.902876;-43.191611;Praça Mauá;12/2004
CISP1 (Praça Mauá);2005;1;0.0;-22.902876;-43.191611;Praça Mauá;1/2005
CISP1 (Praça Mauá);2005;2;0.0013054830287206266;-22.902876;-43.191611;Praça Mauá;2/2005
CISP1 (Praça Mauá);2005;3;0.014360313315926894;-22.902876;-43.191611;Praça Mauá;3/2005
CISP1 (Praça Mauá);2005;4;0.0039164490861618795;-22.902876;-43.191611;Praça Mauá;4/2005
CISP1 (Praça Mauá);2005;5;0.0013054830287206266;-22.902876;-43.191611;Praça Mauá;5/2005
CISP1 (Praça Mauá);2005;6;0.0039164490861618795;-22.902876;-43.191611;Praça Mauá;6/2005
CISP1 (Praça Mauá);2005;7;0.006527415143603133;-22.902876;-43.191611;Praça Mauá;7/2005
CISP1 (Praça Mauá);2005;8;0.005221932114882507;-22.902876;-43.191611;Praça Mauá;8/2005
CISP1 (Praça Mauá);2005;9;0.007832898172323759;-22.902876;-43.191611;Praça Mauá;9/2005
CISP1 (Praça Mauá);2005;10;0.0026109660574412533;-22.902876;-43.191611;Praça Mauá;10/2005
CISP1 (Praça Mauá);2005;11;0.0039164490861618795;-22.902876;-43.191611;Praça Mauá;11/2005
CISP1 (Praça Mauá);2005;12;0.0;-22.902876;-43.191611;Praça Mauá;12/2005
CISP1 (Praça Mauá);2006;1;0.009138381201044387;-22.902876;-43.191611;Praça Mauá;1/2006
CISP1 (Praça Mauá);2006;2;0.0013054830287206266;-22.902876;-43.191611;Praça Mauá;2/2006
CISP1 (Praça Mauá);2006;3;0.0026109660574412533;-22.902876;-43.191611;Praça Mauá;3/2006
CISP1 (Praça Mauá);2006;4;0.007832898172323759;-22.902876;-43.191611;Praça Mauá;4/2006
