CISP;ano;mes;roubo_carga;LAT;LONG;Nome das CISP’s;mes/ano
CISP4 (Praça da República);2003;1;3.356831151393085e-05;-22.903061;-43.186131;Praça da República;1/2003
CISP4 (Praça da República);2003;2;6.709383072226508e-05;-22.903061;-43.186131;Praça da República;2/2003
CISP4 (Praça da República);2003;3;0.0;-22.903061;-43.186131;Praça da República;3/2003
CISP4 (Praça da República);2003;4;3.35042047776996e-05;-22.903061;-43.186131;Praça da República;4/2003
CISP4 (Praça da República);2003;5;6.696578048617156e-05;-22.903061;-43.186131;Praça da República;5/2003
CISP4 (Praça da República);2003;6;3.3461602810774635e-05;-22.903061;-43.186131;Praça da República;6/2003
CISP4 (Praça da República);2003;7;0.00010032438216901315;-22.903061;-43.186131;Praça da República;7/2003
CISP4 (Praça da República);2003;8;3.342022592072722e-05;-22.903061;-43.186131;Praça da República;8/2003
CISP4 (Praça da República);2003;9;0.0;-22.903061;-43.186131;Praça da República;9/2003
CISP4 (Praça da República);2003;10;0.00010013351134846461;-22.903061;-43.186131;Praça da República;10/2003
CISP4 (Praça da República);2003;11;0.000133422281521014;-22.903061;-43.186131;Praça da República;11/2003
CISP4 (Praça da República);2003;12;0.0005000166672222407;-22.903061;-43.186131;Praça da República;12/2003
CISP4 (Praça da República);2004;1;9.994003597841295e-05;-22.903061;-43.186131;Praça da República;1/2004
CISP4 (Praça da República);2004;2;0.00019975363718081034;-22.903061;-43.186131;Praça da República;2/2004
CISP4 (Praça da República);2004;3;0.00026616981634282674;-22.903061;-43.186131;Praça da República;3/2004
CISP4 (Praça da República);2004;4;0.00016625103906899418;-22.903061;-43.186131;Praça da República;4/2004
CISP4 (Praça da República);2004;5;0.00033229215125938727;-22.903061;-43.186131;Praça da República;5/2004
CISP4 (Praça da República);2004;6;0.00016604124464516986;-22.903061;-43.186131;Praça da República;6/2004
CISP4 (Praça da República);2004;7;0.00019912385503783353;-22.903061;-43.186131;Praça da República;7/2004
CISP4 (Praça da República);2004;8;0.00013266558323107028;-22.903061;-43.186131;Praça da República;8/2004
CISP4 (Praça da República);2004;9;0.0002320185614849188;-22.903061;-43.186131;Praça da República;9/2004
CISP4 (Praça da República);2004;10;3.312464805061446e-05;-22.903061;-43.186131;Praça da República;10/2004
CISP4 (Praça da República);2004;11;0.00013241525423728814;-22.903061;-43.186131;Praça da República;11/2004
CISP4 (Praça da República);2004;12;0.0001654150263009892;-22.903061;-43.186131;Praça da República;12/2004
CISP4 (Praça da República);2005;1;0.0001322445201176976;-22.903061;-43.186131;Praça da República;1/2005
