CISP;ano;pop
1;2003;1551
1;2004;1563
1;2005;1575
1;2006;1587
1;2007;1599
1;2008;1611
1;2009;1623
1;2010;1636
1;2011;1645
1;2012;1654
1;2013;1664
1;2014;1670
1;2015;1676
1;2016;1682
1;2017;1695
1;2018;1708
1;2019;1721
4;2003;29903
4;2004;30132
4;2005;30361
4;2006;30593
4;2007;30826
4;2008;31062
4;2009;31299
4;2010;31537
4;2011;31714
4;2012;31886
4;2013;32084
4;2014;32202
4;2015;32317
4;2016;32427
4;2017;32675
4;2018;32924
4;2019;33175
5;2003;35792
5;2004;36065
5;2005;36340
5;2006;36618
5;2007;36897
5;2008;37178
5;2009;37462
5;2010;37748
5;2011;37960
5;2012;38165
5;2013;38402
5;2014;38544
5;2015;38681
5;2016;38813
5;2017;39109
5;2018;39408
5;2019;39708
6;2003;76561
6;2004;77145
6;2005;77733
6;2006;78326
6;2007;78924
6;2008;79526
6;2009;80133
6;2010;80744
6;2011;81198
6;2012;81636
6;2013;82143
6;2014;82446
6;2015;82739
6;2016;83023
6;2017;83656
6;2018;84294
6;2019;84938
7;2003;38806
7;2004;39102
7;2005;39400
7;2006;39701
7;2007;40003
7;2008;40309
7;2009;40616
7;2010;40926
7;2011;41156
7;2012;41378
7;2013;41635
7;2014;41789
7;2015;41937
7;2016;42081
7;2017;42402
7;2018;42726
7;2019;43052
9;2003;129422
9;2004;130409
9;2005;131404
9;2006;132406
9;2007;133416
9;2008;134434
9;2009;135460
9;2010;136493
9;2011;137260
9;2012;138001
9;2013;138857
9;2014;139370
9;2015;139866
9;2016;140345
9;2017;141416
9;2018;142495
9;2019;143582
10;2003;97888
10;2004;98634
10;2005;99387
10;2006;100145
10;2007;100909
10;2008;101679
10;2009;102454
10;2010;103236
10;2011;103816
10;2012;104377
10;2013;105024
10;2014;105412
10;2015;105787
10;2016;106150
10;2017;106960
10;2018;107776
10;2019;108598
11;2014;70818
11;2015;71070
11;2016;71314
11;2017;71858
11;2018;72406
11;2019;72958
12;2003;86972
12;2004;87636
12;2005;88305
12;2006;88978
12;2007;89657
12;2008;90341
12;2009;91030
12;2010;91725
12;2011;92240
12;2012;92738
12;2013;93313
12;2014;93658
12;2015;93991
12;2016;94313
12;2017;95033
12;2018;95758
12;2019;96488
13;2003;65868
13;2004;66370
13;2005;66876
13;2006;67387
13;2007;67901
13;2008;68419
13;2009;68941
13;2010;69466
13;2011;69857
13;2012;70234
13;2013;70670
13;2014;70931
13;2015;71183
13;2016;71427
13;2017;71972
13;2018;72521
13;2019;73074
14;2003;84187
14;2004;84829
14;2005;85476
14;2006;86129
14;2007;86786
14;2008;87448
14;2009;88115
14;2010;88787
14;2011;89286
14;2012;89768
14;2013;90325
14;2014;90659
14;2015;90981
14;2016;91293
14;2017;91989
14;2018;92691
14;2019;93398
15;2003;140658
15;2004;141731
15;2005;142812
15;2006;143901
15;2007;144999
15;2008;146105
15;2009;147220
15;2010;148343
15;2011;149176
15;2012;149982
15;2013;150912
15;2014;80652
15;2015;80939
15;2016;81216
15;2017;81836
15;2018;82460
15;2019;83089
16;2003;288630
16;2004;290831
16;2005;293050
16;2006;295286
16;2007;297538
16;2008;299808
16;2009;302095
16;2010;175157
16;2011;176141
16;2012;177093
16;2013;178191
16;2014;178849
16;2015;179485
16;2016;180101
16;2017;181475
16;2018;182859
16;2019;184254
17;2003;76144
17;2004;76724
17;2005;77310
17;2006;77900
17;2007;78494
17;2008;79093
17;2009;79696
17;2010;80304
17;2011;80755
17;2012;81191
17;2013;81695
17;2014;81997
17;2015;82288
17;2016;82571
17;2017;83200
17;2018;83835
17;2019;84475
18;2003;64210
18;2004;64700
18;2005;65194
18;2006;65691
18;2007;66192
18;2008;66697
18;2009;67206
18;2010;67719
18;2011;68099
18;2012;68467
18;2013;68892
18;2014;69146
18;2015;69392
18;2016;69630
18;2017;70161
18;2018;70697
18;2019;71236
19;2003;132128
19;2004;133136
19;2005;134151
19;2006;135175
19;2007;136206
19;2008;137245
19;2009;138292
19;2010;139347
19;2011;140130
19;2012;140887
19;2013;141761
19;2014;142285
19;2015;142791
19;2016;143280
19;2017;144373
19;2018;145475
19;2019;146584
20;2003;155555
20;2004;156741
20;2005;157937
20;2006;159142
20;2007;160356
20;2008;161579
20;2009;162812
20;2010;164054
20;2011;164976
20;2012;165867
20;2013;166896
20;2014;167512
20;2015;168108
20;2016;168684
20;2017;169971
20;2018;171268
20;2019;172574
21;2003;252454
21;2004;254380
21;2005;256321
21;2006;258276
21;2007;260246
21;2008;262232
21;2009;264232
21;2010;266248
21;2011;267744
21;2012;269190
21;2013;270860
21;2014;271861
21;2015;272827
21;2016;273763
21;2017;275851
21;2018;277956
21;2019;280076
22;2003;227345
22;2004;229079
22;2005;230827
22;2006;232588
22;2007;234362
22;2008;236150
22;2009;237952
22;2010;239767
22;2011;241114
22;2012;242417
22;2013;243920
22;2014;174221
22;2015;174840
22;2016;175440
22;2017;176778
22;2018;178127
22;2019;179486
23;2003;87464
23;2004;88131
23;2005;88804
23;2006;89481
23;2007;90164
23;2008;90852
23;2009;91545
23;2010;92243
23;2011;92761
23;2012;93262
23;2013;93841
23;2014;94187
23;2015;94522
23;2016;94847
23;2017;74720
23;2018;75290
23;2019;75864
24;2003;91979
24;2004;92681
24;2005;93388
24;2006;94100
24;2007;94818
24;2008;95542
24;2009;96271
24;2010;97005
24;2011;97550
24;2012;98077
24;2013;98685
24;2014;99050
24;2015;99402
24;2016;99743
24;2017;109865
24;2018;110704
24;2019;111548
25;2003;123212
25;2004;124152
25;2005;125099
25;2006;126053
25;2007;127015
25;2008;127984
25;2009;128960
25;2010;129944
25;2011;130674
25;2012;131380
25;2013;132195
25;2014;132683
25;2015;133155
25;2016;133612
25;2017;134631
25;2018;135658
25;2019;136693
26;2003;110397
26;2004;111239
26;2005;112088
26;2006;112943
26;2007;113805
26;2008;114673
26;2009;115548
26;2010;116429
26;2011;117083
26;2012;117716
26;2013;118446
26;2014;118883
26;2015;119306
26;2016;119715
26;2017;132117
26;2018;133125
26;2019;134141
27;2003;180129
27;2004;181504
27;2005;182888
27;2006;184283
27;2007;185689
27;2008;187106
27;2009;188533
27;2010;189972
27;2011;191039
27;2012;192071
27;2013;193262
27;2014;193976
27;2015;194666
27;2016;195333
27;2017;196823
27;2018;198325
27;2019;199838
28;2003;163300
28;2004;164546
28;2005;165801
28;2006;167066
28;2007;168341
28;2008;169625
28;2009;170919
28;2010;172223
28;2011;173190
28;2012;174126
28;2013;175206
28;2014;175853
28;2015;176479
28;2016;177084
28;2017;110832
28;2018;111678
28;2019;112530
29;2003;99345
29;2004;100103
29;2005;100866
29;2006;101636
29;2007;102411
29;2008;103193
29;2009;103980
29;2010;104773
29;2011;105362
29;2012;105931
29;2013;106588
29;2014;106982
29;2015;107362
29;2016;107730
29;2017;185195
29;2018;186608
29;2019;188031
30;2003;119290
30;2004;120200
30;2005;121117
30;2006;122041
30;2007;122972
30;2008;123910
30;2009;124856
30;2010;125808
30;2011;126515
30;2012;127198
30;2013;127987
30;2014;128460
30;2015;128917
30;2016;129359
30;2017;132233
30;2018;133242
30;2019;134259
31;2003;150116
31;2004;151261
31;2005;152415
31;2006;153578
31;2007;154749
31;2008;155930
31;2009;157119
31;2010;158318
31;2011;159207
31;2012;160067
31;2013;161060
31;2014;161655
31;2015;162230
31;2016;162786
31;2017;164028
31;2018;165280
31;2019;166540
32;2003;349924
32;2004;352593
32;2005;355283
32;2006;357993
32;2007;360724
32;2008;363476
32;2009;366249
32;2010;369043
32;2011;371116
32;2012;373121
32;2013;375435
32;2014;376822
32;2015;378162
32;2016;379459
32;2017;382354
32;2018;385271
32;2019;388210
33;2003;230416
33;2004;232174
33;2005;233945
33;2006;235730
33;2007;237528
33;2008;239340
33;2009;241166
33;2010;243006
33;2011;244371
33;2012;245691
33;2013;247215
33;2014;248129
33;2015;249011
33;2016;249865
33;2017;251771
33;2018;253692
33;2019;255627
34;2003;405859
34;2004;408955
34;2005;412075
34;2006;415219
34;2007;418386
34;2008;421578
34;2009;424794
34;2010;428035
34;2011;430439
34;2012;432765
34;2013;435449
34;2014;437058
34;2015;438612
34;2016;440116
34;2017;443474
34;2018;446857
34;2019;450266
35;2003;514000
35;2004;517921
35;2005;521872
35;2006;525853
35;2007;529865
35;2008;533907
35;2009;537980
35;2010;542084
35;2011;545129
35;2012;548074
35;2013;551473
35;2014;553511
35;2015;555479
35;2016;557384
35;2017;561636
35;2018;565921
35;2019;570238
36;2003;295797
36;2004;298054
36;2005;300327
36;2006;302618
36;2007;304927
36;2008;307253
36;2009;309597
36;2010;311959
36;2011;313711
36;2012;315406
36;2013;317362
36;2014;318535
36;2015;319668
36;2016;320764
36;2017;323211
36;2018;325677
36;2019;328161
37;2003;201561
37;2004;203099
37;2005;204648
37;2006;206209
37;2007;207782
37;2008;209367
37;2009;210965
37;2010;212574
37;2011;213768
37;2012;214923
37;2013;216256
37;2014;217055
37;2015;217827
37;2016;218574
37;2017;220241
37;2018;221921
37;2019;223614
38;2003;197961
38;2004;199471
38;2005;200993
38;2006;202526
38;2007;204071
38;2008;205628
38;2009;207196
38;2010;208777
38;2011;209950
38;2012;211084
38;2013;212393
38;2014;213178
38;2015;213936
38;2016;214670
38;2017;216307
38;2018;217957
38;2019;219620
39;2003;167252
39;2004;168527
39;2005;169813
39;2006;171109
39;2007;172414
39;2008;173729
39;2009;175055
39;2010;176390
39;2011;177381
39;2012;178339
39;2013;179445
39;2014;180108
39;2015;180749
39;2016;181369
39;2017;182752
39;2018;184146
39;2019;185551
40;2003;105800
40;2004;106607
40;2005;107420
40;2006;108240
40;2007;109065
40;2008;109897
40;2009;110736
40;2010;111580
40;2011;112207
40;2012;112814
40;2013;113513
40;2014;113933
40;2015;114338
40;2016;114730
40;2017;115605
40;2018;116487
40;2019;117376
41;2003;135663
41;2004;136698
41;2005;137741
41;2006;138792
41;2007;139851
41;2008;140918
41;2009;141993
41;2010;143076
41;2011;143880
41;2012;144657
41;2013;145554
41;2014;146092
41;2015;146612
41;2016;147114
41;2017;137308
41;2018;138356
41;2019;139411
42;2010;129243
42;2011;129969
42;2012;130671
42;2013;131482
42;2014;131967
42;2015;132437
42;2016;132891
42;2017;133905
42;2018;134926
42;2019;135955
43;2003;166988
43;2004;168262
43;2005;169545
43;2006;170839
43;2007;172142
43;2008;173455
43;2009;174779
43;2010;176112
43;2011;177101
43;2012;178058
43;2013;179162
43;2014;179824
43;2015;180464
43;2016;181083
43;2017;182464
43;2018;183856
43;2019;185259
44;2003;112470
44;2004;113328
44;2005;114192
44;2006;115063
44;2007;115941
44;2008;116826
44;2009;117717
44;2010;118615
44;2011;119281
44;2012;119926
44;2013;120670
44;2014;121115
44;2015;121546
44;2016;121963
44;2017;122893
44;2018;123831
44;2019;124775
45;2014;70601
45;2015;70852
45;2016;71095
45;2017;71637
45;2018;72183
45;2019;72734
48;2003;68896
