CISP;mes;ano;pop
1;1;2003;1545
1;2;2003;1546
1;3;2003;1547
1;4;2003;1548
1;5;2003;1549
1;6;2003;1550
1;7;2003;1551
1;8;2003;1552
1;9;2003;1553
1;10;2003;1554
1;11;2003;1555
1;12;2003;1556
4;1;2003;29790
4;2;2003;29809
4;3;2003;29828
4;4;2003;29847
4;5;2003;29866
4;6;2003;29885
4;7;2003;29903
4;8;2003;29922
4;9;2003;29941
4;10;2003;29960
4;11;2003;29980
4;12;2003;29999
5;1;2003;35657
5;2;2003;35680
5;3;2003;35702
5;4;2003;35725
5;5;2003;35748
5;6;2003;35770
5;7;2003;35792
5;8;2003;35815
5;9;2003;35838
5;10;2003;35861
5;11;2003;35883
5;12;2003;35906
6;1;2003;76271
6;2;2003;76320
6;3;2003;76368
6;4;2003;76417
6;5;2003;76466
6;6;2003;76514
6;7;2003;76561
6;8;2003;76609
6;9;2003;76658
6;10;2003;76707
6;11;2003;76756
6;12;2003;76804
7;1;2003;38659
7;2;2003;38684
7;3;2003;38708
7;4;2003;38733
7;5;2003;38757
7;6;2003;38782
7;7;2003;38806
7;8;2003;38830
7;9;2003;38855
7;10;2003;38880
7;11;2003;38904
7;12;2003;38929
9;1;2003;128932
9;2;2003;129014
9;3;2003;129096
9;4;2003;129178
9;5;2003;129261
9;6;2003;129343
9;7;2003;129422
9;8;2003;129504
9;9;2003;129586
9;10;2003;129669
9;11;2003;129751
9;12;2003;129833
10;1;2003;97518
10;2;2003;97580
10;3;2003;97642
10;4;2003;97704
10;5;2003;97766
10;6;2003;97828
10;7;2003;97888
10;8;2003;97950
10;9;2003;98012
10;10;2003;98074
10;11;2003;98137
10;12;2003;98199
12;1;2003;86644
12;2;2003;86699
12;3;2003;86754
12;4;2003;86809
12;5;2003;86864
12;6;2003;86920
12;7;2003;86972
12;8;2003;87028
12;9;2003;87083
12;10;2003;87138
12;11;2003;87194
12;12;2003;87249
13;1;2003;65619
13;2;2003;65660
13;3;2003;65702
13;4;2003;65744
13;5;2003;65786
13;6;2003;65827
13;7;2003;65868
13;8;2003;65909
13;9;2003;65951
13;10;2003;65993
13;11;2003;66035
13;12;2003;66077
14;1;2003;83869
14;2;2003;83922
14;3;2003;83976
14;4;2003;84029
14;5;2003;84082
14;6;2003;84136
14;7;2003;84187
14;8;2003;84241
14;9;2003;84294
14;10;2003;84348
14;11;2003;84401
14;12;2003;84455
15;1;2003;140126
15;2;2003;140215
15;3;2003;140304
15;4;2003;140393
15;5;2003;140483
15;6;2003;140572
15;7;2003;140658
15;8;2003;140747
15;9;2003;140837
15;10;2003;140926
15;11;2003;141016
15;12;2003;141105
16;1;2003;287539
16;2;2003;287721
16;3;2003;287904
16;4;2003;288087
16;5;2003;288271
16;6;2003;288454
16;7;2003;288630
16;8;2003;288813
16;9;2003;288997
16;10;2003;289180
16;11;2003;289364
16;12;2003;289548
17;1;2003;75856
17;2;2003;75904
17;3;2003;75952
17;4;2003;76001
17;5;2003;76049
17;6;2003;76097
17;7;2003;76144
17;8;2003;76192
17;9;2003;76240
17;10;2003;76289
17;11;2003;76337
17;12;2003;76386
18;1;2003;63968
18;2;2003;64008
18;3;2003;64049
18;4;2003;64090
18;5;2003;64131
18;6;2003;64171
18;7;2003;64210
18;8;2003;64251
18;9;2003;64292
18;10;2003;64333
18;11;2003;64374
18;12;2003;64415
19;1;2003;131628
19;2;2003;131712
19;3;2003;131796
19;4;2003;131880
19;5;2003;131964
19;6;2003;132047
19;7;2003;132128
19;8;2003;132212
19;9;2003;132296
19;10;2003;132380
19;11;2003;132464
19;12;2003;132548
20;1;2003;154967
20;2;2003;155065
20;3;2003;155164
