CISP;ano;mes;roubo_carga;LAT;LONG;Nome das CISP’s;mes/ano
CISP4 (Praça da República);2003;12;0.0005000166672222407;-22.903061;-43.186131;Praça da República;12/2003
CISP44 (Inhaúma);2004;12;0.0006333122229259025;-22.873873;-43.285441;Inhaúma;12/2004
CISP94 (Piraí);2005;2;0.000375735815972947;-22.632904;-43.900596;Piraí;2/2005
CISP40 (Honório Gurgel);2006;11;0.00033175137077823345;-22.840613;-43.349061;Honório Gurgel;11/2006
CISP17 (São Cristovão);2007;3;0.00037038456134973245;-22.904365;-43.218631;São Cristovão;3/2007
CISP5 (Mem de Sá);2008;1;0.0002969922782007668;-22.909893;-43.184305;Mem de Sá;1/2008
CISP5 (Mem de Sá);2009;10;0.00023982093370283523;-22.909893;-43.184305;Mem de Sá;10/2009
CISP5 (Mem de Sá);2010;2;0.0002658443215652914;-22.909893;-43.184305;Mem de Sá;2/2010
CISP39 (Pavuna);2011;12;0.00020249746878164024;-22.805977;-43.363983;Pavuna;12/2011
CISP39 (Pavuna);2012;2;0.000269752333638678;-22.805977;-43.363983;Pavuna;2/2012
CISP39 (Pavuna);2013;12;0.00040618288245178666;-22.805977;-43.363983;Pavuna;12/2013
CISP39 (Pavuna);2014;1;0.0003615590425916552;-22.805977;-43.363983;Pavuna;1/2014
CISP39 (Pavuna);2015;11;0.0004642038075764693;-22.805977;-43.363983;Pavuna;11/2015
CISP31 (Ricardo de Albuquerque);2016;12;0.000783809436330792;-22.836617;-43.396907;Ricardo de Albuquerque;12/2016
CISP40 (Honório Gurgel);2017;5;0.00048501225522037744;-22.840613;-43.349061;Honório Gurgel;5/2017
CISP38 (Brás de Pina);2018;3;0.00034956993698541925;-22.83669;-43.316752;Brás de Pina;3/2018
CISP74 (Alcântara);2019;7;0.00025845595868094246;-22.819816;-43.003437;Alcântara;7/2019
