CISP;ano;mes;roubo_carga;LAT;LONG;Nome das CISP’s;mes/ano
CISP1 (Praça Mauá);2003;1;1.0;-22.902876;-43.191611;Praça Mauá;1/2003
CISP1 (Praça Mauá);2003;2;6.0;-22.902876;-43.191611;Praça Mauá;2/2003
CISP1 (Praça Mauá);2003;3;5.0;-22.902876;-43.191611;Praça Mauá;3/2003
CISP1 (Praça Mauá);2003;4;4.0;-22.902876;-43.191611;Praça Mauá;4/2003
CISP1 (Praça Mauá);2003;5;1.0;-22.902876;-43.191611;Praça Mauá;5/2003
CISP1 (Praça Mauá);2003;6;3.0;-22.902876;-43.191611;Praça Mauá;6/2003
CISP1 (Praça Mauá);2003;7;5.0;-22.902876;-43.191611;Praça Mauá;7/2003
CISP1 (Praça Mauá);2003;8;2.0;-22.902876;-43.191611;Praça Mauá;8/2003
CISP1 (Praça Mauá);2003;9;0.0;-22.902876;-43.191611;Praça Mauá;9/2003
CISP1 (Praça Mauá);2003;10;5.0;-22.902876;-43.191611;Praça Mauá;10/2003
CISP1 (Praça Mauá);2003;11;7.0;-22.902876;-43.191611;Praça Mauá;11/2003
CISP1 (Praça Mauá);2003;12;4.0;-22.902876;-43.191611;Praça Mauá;12/2003
CISP1 (Praça Mauá);2004;1;1.0;-22.902876;-43.191611;Praça Mauá;1/2004
CISP1 (Praça Mauá);2004;2;2.0;-22.902876;-43.191611;Praça Mauá;2/2004
CISP1 (Praça Mauá);2004;3;4.0;-22.902876;-43.191611;Praça Mauá;3/2004
CISP1 (Praça Mauá);2004;4;3.0;-22.902876;-43.191611;Praça Mauá;4/2004
CISP1 (Praça Mauá);2004;5;0.0;-22.902876;-43.191611;Praça Mauá;5/2004
CISP1 (Praça Mauá);2004;6;1.0;-22.902876;-43.191611;Praça Mauá;6/2004
CISP1 (Praça Mauá);2004;7;1.0;-22.902876;-43.191611;Praça Mauá;7/2004
CISP1 (Praça Mauá);2004;8;3.0;-22.902876;-43.191611;Praça Mauá;8/2004
CISP1 (Praça Mauá);2004;9;3.0;-22.902876;-43.191611;Praça Mauá;9/2004
CISP1 (Praça Mauá);2004;10;0.0;-22.902876;-43.191611;Praça Mauá;10/2004
CISP1 (Praça Mauá);2004;11;2.0;-22.902876;-43.191611;Praça Mauá;11/2004
CISP1 (Praça Mauá);2004;12;5.0;-22.902876;-43.191611;Praça Mauá;12/2004
CISP1 (Praça Mauá);2005;1;0.0;-22.902876;-43.191611;Praça Mauá;1/2005
CISP1 (Praça Mauá);2005;2;1.0;-22.902876;-43.191611;Praça Mauá;2/2005
CISP1 (Praça Mauá);2005;3;11.0;-22.902876;-43.191611;Praça Mauá;3/2005
CISP1 (Praça Mauá);2005;4;3.0;-22.902876;-43.191611;Praça Mauá;4/2005
CISP1 (Praça Mauá);2005;5;1.0;-22.902876;-43.191611;Praça Mauá;5/2005
CISP1 (Praça Mauá);2005;6;3.0;-22.902876;-43.191611;Praça Mauá;6/2005
CISP1 (Praça Mauá);2005;7;5.0;-22.902876;-43.191611;Praça Mauá;7/2005
CISP1 (Praça Mauá);2005;8;4.0;-22.902876;-43.191611;Praça Mauá;8/2005
CISP1 (Praça Mauá);2005;9;6.0;-22.902876;-43.191611;Praça Mauá;9/2005
CISP1 (Praça Mauá);2005;10;2.0;-22.902876;-43.191611;Praça Mauá;10/2005
CISP1 (Praça Mauá);2005;11;3.0;-22.902876;-43.191611;Praça Mauá;11/2005
CISP1 (Praça Mauá);2005;12;0.0;-22.902876;-43.191611;Praça Mauá;12/2005
CISP1 (Praça Mauá);2006;1;7.0;-22.902876;-43.191611;Praça Mauá;1/2006
CISP1 (Praça Mauá);2006;2;1.0;-22.902876;-43.191611;Praça Mauá;2/2006
CISP1 (Praça Mauá);2006;3;2.0;-22.902876;-43.191611;Praça Mauá;3/2006
CISP1 (Praça Mauá);2006;4;6.0;-22.902876;-43.191611;Praça Mauá;4/2006
CISP1 (Praça Mauá);2006;5;7.0;-22.902876;-43.191611;Praça Mauá;5/2006
CISP1 (Praça Mauá);2006;6;4.0;-22.902876;-43.191611;Praça Mauá;6/2006
CISP1 (Praça Mauá);2006;7;6.0;-22.902876;-43.191611;Praça Mauá;7/2006
CISP1 (Praça Mauá);2006;8;14.0;-22.902876;-43.191611;Praça Mauá;8/2006
CISP1 (Praça Mauá);2006;9;5.0;-22.902876;-43.191611;Praça Mauá;9/2006
CISP1 (Praça Mauá);2006;10;5.0;-22.902876;-43.191611;Praça Mauá;10/2006
CISP1 (Praça Mauá);2006;11;7.0;-22.902876;-43.191611;Praça Mauá;11/2006
CISP1 (Praça Mauá);2006;12;8.0;-22.902876;-43.191611;Praça Mauá;12/2006
CISP1 (Praça Mauá);2007;1;4.0;-22.902876;-43.191611;Praça Mauá;1/2007
CISP1 (Praça Mauá);2007;2;15.0;-22.902876;-43.191611;Praça Mauá;2/2007
CISP1 (Praça Mauá);2007;3;12.0;-22.902876;-43.191611;Praça Mauá;3/2007
CISP1 (Praça Mauá);2007;4;8.0;-22.902876;-43.191611;Praça Mauá;4/2007
CISP1 (Praça Mauá);2007;5;12.0;-22.902876;-43.191611;Praça Mauá;5/2007
CISP1 (Praça Mauá);2007;6;9.0;-22.902876;-43.191611;Praça Mauá;6/2007
CISP1 (Praça Mauá);2007;7;14.0;-22.902876;-43.191611;Praça Mauá;7/2007
CISP1 (Praça Mauá);2007;8;6.0;-22.902876;-43.191611;Praça Mauá;8/2007
CISP1 (Praça Mauá);2007;9;13.0;-22.902876;-43.191611;Praça Mauá;9/2007
CISP1 (Praça Mauá);2007;10;11.0;-22.902876;-43.191611;Praça Mauá;10/2007
CISP1 (Praça Mauá);2007;11;8.0;-22.902876;-43.191611;Praça Mauá;11/2007
CISP1 (Praça Mauá);2007;12;6.0;-22.902876;-43.191611;Praça Mauá;12/2007
CISP1 (Praça Mauá);2008;1;11.0;-22.902876;-43.191611;Praça Mauá;1/2008
CISP1 (Praça Mauá);2008;2;6.0;-22.902876;-43.191611;Praça Mauá;2/2008
CISP1 (Praça Mauá);2008;3;4.0;-22.902876;-43.191611;Praça Mauá;3/2008
CISP1 (Praça Mauá);2008;4;5.0;-22.902876;-43.191611;Praça Mauá;4/2008
CISP1 (Praça Mauá);2008;5;2.0;-22.902876;-43.191611;Praça Mauá;5/2008
CISP1 (Praça Mauá);2008;6;5.0;-22.902876;-43.191611;Praça Mauá;6/2008
CISP1 (Praça Mauá);2008;7;5.0;-22.902876;-43.191611;Praça Mauá;7/2008
CISP1 (Praça Mauá);2008;8;3.0;-22.902876;-43.191611;Praça Mauá;8/2008
CISP1 (Praça Mauá);2008;9;6.0;-22.902876;-43.191611;Praça Mauá;9/2008
CISP1 (Praça Mauá);2008;10;2.0;-22.902876;-43.191611;Praça Mauá;10/2008
CISP1 (Praça Mauá);2008;11;2.0;-22.902876;-43.191611;Praça Mauá;11/2008
CISP1 (Praça Mauá);2008;12;3.0;-22.902876;-43.191611;Praça Mauá;12/2008
CISP1 (Praça Mauá);2009;1;4.0;-22.902876;-43.191611;Praça Mauá;1/2009
CISP1 (Praça Mauá);2009;2;2.0;-22.902876;-43.191611;Praça Mauá;2/2009
CISP1 (Praça Mauá);2009;3;5.0;-22.902876;-43.191611;Praça Mauá;3/2009
CISP1 (Praça Mauá);2009;4;5.0;-22.902876;-43.191611;Praça Mauá;4/2009
CISP1 (Praça Mauá);2009;5;2.0;-22.902876;-43.191611;Praça Mauá;5/2009
CISP1 (Praça Mauá);2009;6;10.0;-22.902876;-43.191611;Praça Mauá;6/2009
CISP1 (Praça Mauá);2009;7;3.0;-22.902876;-43.191611;Praça Mauá;7/2009
CISP1 (Praça Mauá);2009;8;4.0;-22.902876;-43.191611;Praça Mauá;8/2009
CISP1 (Praça Mauá);2009;9;2.0;-22.902876;-43.191611;Praça Mauá;9/2009
CISP1 (Praça Mauá);2009;10;4.0;-22.902876;-43.191611;Praça Mauá;10/2009
CISP1 (Praça Mauá);2009;11;3.0;-22.902876;-43.191611;Praça Mauá;11/2009
CISP1 (Praça Mauá);2009;12;3.0;-22.902876;-43.191611;Praça Mauá;12/2009
CISP1 (Praça Mauá);2010;1;8.0;-22.902876;-43.191611;Praça Mauá;1/2010
CISP1 (Praça Mauá);2010;2;2.0;-22.902876;-43.191611;Praça Mauá;2/2010
CISP1 (Praça Mauá);2010;3;3.0;-22.902876;-43.191611;Praça Mauá;3/2010
CISP1 (Praça Mauá);2010;4;6.0;-22.902876;-43.191611;Praça Mauá;4/2010
CISP1 (Praça Mauá);2010;5;2.0;-22.902876;-43.191611;Praça Mauá;5/2010
CISP1 (Praça Mauá);2010;6;21.0;-22.902876;-43.191611;Praça Mauá;6/2010
CISP1 (Praça Mauá);2010;7;33.0;-22.902876;-43.191611;Praça Mauá;7/2010
CISP1 (Praça Mauá);2010;8;5.0;-22.902876;-43.191611;Praça Mauá;8/2010
CISP1 (Praça Mauá);2010;9;16.0;-22.902876;-43.191611;Praça Mauá;9/2010
CISP1 (Praça Mauá);2010;10;6.0;-22.902876;-43.191611;Praça Mauá;10/2010
CISP1 (Praça Mauá);2010;11;6.0;-22.902876;-43.191611;Praça Mauá;11/2010
CISP1 (Praça Mauá);2010;12;10.0;-22.902876;-43.191611;Praça Mauá;12/2010
CISP1 (Praça Mauá);2011;1;8.0;-22.902876;-43.191611;Praça Mauá;1/2011
CISP1 (Praça Mauá);2011;2;4.0;-22.902876;-43.191611;Praça Mauá;2/2011
CISP1 (Praça Mauá);2011;3;5.0;-22.902876;-43.191611;Praça Mauá;3/2011
CISP1 (Praça Mauá);2011;4;4.0;-22.902876;-43.191611;Praça Mauá;4/2011
CISP1 (Praça Mauá);2011;5;3.0;-22.902876;-43.191611;Praça Mauá;5/2011
CISP1 (Praça Mauá);2011;6;5.0;-22.902876;-43.191611;Praça Mauá;6/2011
CISP1 (Praça Mauá);2011;7;3.0;-22.902876;-43.191611;Praça Mauá;7/2011
CISP1 (Praça Mauá);2011;8;3.0;-22.902876;-43.191611;Praça Mauá;8/2011
CISP1 (Praça Mauá);2011;9;2.0;-22.902876;-43.191611;Praça Mauá;9/2011
