CISP;ano;mes;roubo_carga;LAT;LONG;Nome das CISP’s;mes/ano
CISP1 (Praça Mauá);2003;1;0.0028011204481792717;-22.902876;-43.191611;Praça Mauá;1/2003
CISP1 (Praça Mauá);2003;2;0.013544018058690745;-22.902876;-43.191611;Praça Mauá;2/2003
CISP1 (Praça Mauá);2003;3;0.016129032258064516;-22.902876;-43.191611;Praça Mauá;3/2003
CISP1 (Praça Mauá);2003;4;0.013201320132013201;-22.902876;-43.191611;Praça Mauá;4/2003
CISP1 (Praça Mauá);2003;5;0.002898550724637681;-22.902876;-43.191611;Praça Mauá;5/2003
CISP1 (Praça Mauá);2003;6;0.009615384615384616;-22.902876;-43.191611;Praça Mauá;6/2003
CISP1 (Praça Mauá);2003;7;0.015432098765432098;-22.902876;-43.191611;Praça Mauá;7/2003
CISP1 (Praça Mauá);2003;8;0.006535947712418301;-22.902876;-43.191611;Praça Mauá;8/2003
CISP1 (Praça Mauá);2003;9;0.0;-22.902876;-43.191611;Praça Mauá;9/2003
CISP1 (Praça Mauá);2003;10;0.013774104683195593;-22.902876;-43.191611;Praça Mauá;10/2003
CISP1 (Praça Mauá);2003;11;0.021406727828746176;-22.902876;-43.191611;Praça Mauá;11/2003
CISP1 (Praça Mauá);2003;12;0.009708737864077669;-22.902876;-43.191611;Praça Mauá;12/2003
CISP1 (Praça Mauá);2004;1;0.003424657534246575;-22.902876;-43.191611;Praça Mauá;1/2004
CISP1 (Praça Mauá);2004;2;0.007168458781362007;-22.902876;-43.191611;Praça Mauá;2/2004
CISP1 (Praça Mauá);2004;3;0.010309278350515464;-22.902876;-43.191611;Praça Mauá;3/2004
CISP1 (Praça Mauá);2004;4;0.0071090047393364926;-22.902876;-43.191611;Praça Mauá;4/2004
CISP1 (Praça Mauá);2004;5;0.0;-22.902876;-43.191611;Praça Mauá;5/2004
CISP1 (Praça Mauá);2004;6;0.002386634844868735;-22.902876;-43.191611;Praça Mauá;6/2004
CISP1 (Praça Mauá);2004;7;0.0027247956403269754;-22.902876;-43.191611;Praça Mauá;7/2004
CISP1 (Praça Mauá);2004;8;0.009836065573770493;-22.902876;-43.191611;Praça Mauá;8/2004
CISP1 (Praça Mauá);2004;9;0.008522727272727272;-22.902876;-43.191611;Praça Mauá;9/2004
CISP1 (Praça Mauá);2004;10;0.0;-22.902876;-43.191611;Praça Mauá;10/2004
CISP1 (Praça Mauá);2004;11;0.004672897196261682;-22.902876;-43.191611;Praça Mauá;11/2004
CISP1 (Praça Mauá);2004;12;0.008710801393728223;-22.902876;-43.191611;Praça Mauá;12/2004
CISP1 (Praça Mauá);2005;1;0.0;-22.902876;-43.191611;Praça Mauá;1/2005
CISP1 (Praça Mauá);2005;2;0.0023752969121140144;-22.902876;-43.191611;Praça Mauá;2/2005
CISP1 (Praça Mauá);2005;3;0.024886877828054297;-22.902876;-43.191611;Praça Mauá;3/2005
CISP1 (Praça Mauá);2005;4;0.008403361344537815;-22.902876;-43.191611;Praça Mauá;4/2005
CISP1 (Praça Mauá);2005;5;0.002785515320334262;-22.902876;-43.191611;Praça Mauá;5/2005
CISP1 (Praça Mauá);2005;6;0.007556675062972292;-22.902876;-43.191611;Praça Mauá;6/2005
CISP1 (Praça Mauá);2005;7;0.014245014245014245;-22.902876;-43.191611;Praça Mauá;7/2005
CISP1 (Praça Mauá);2005;8;0.01;-22.902876;-43.191611;Praça Mauá;8/2005
CISP1 (Praça Mauá);2005;9;0.017595307917888565;-22.902876;-43.191611;Praça Mauá;9/2005
CISP1 (Praça Mauá);2005;10;0.00641025641025641;-22.902876;-43.191611;Praça Mauá;10/2005
CISP1 (Praça Mauá);2005;11;0.00872093023255814;-22.902876;-43.191611;Praça Mauá;11/2005
CISP1 (Praça Mauá);2005;12;0.0;-22.902876;-43.191611;Praça Mauá;12/2005
CISP1 (Praça Mauá);2006;1;0.020289855072463767;-22.902876;-43.191611;Praça Mauá;1/2006
CISP1 (Praça Mauá);2006;2;0.0025906735751295338;-22.902876;-43.191611;Praça Mauá;2/2006
CISP1 (Praça Mauá);2006;3;0.005420054200542005;-22.902876;-43.191611;Praça Mauá;3/2006
CISP1 (Praça Mauá);2006;4;0.016172506738544475;-22.902876;-43.191611;Praça Mauá;4/2006
CISP1 (Praça Mauá);2006;5;0.017811704834605598;-22.902876;-43.191611;Praça Mauá;5/2006
CISP1 (Praça Mauá);2006;6;0.011799410029498525;-22.902876;-43.191611;Praça Mauá;6/2006
CISP1 (Praça Mauá);2006;7;0.017595307917888565;-22.902876;-43.191611;Praça Mauá;7/2006
CISP1 (Praça Mauá);2006;8;0.03580562659846547;-22.902876;-43.191611;Praça Mauá;8/2006
CISP1 (Praça Mauá);2006;9;0.013477088948787063;-22.902876;-43.191611;Praça Mauá;9/2006
CISP1 (Praça Mauá);2006;10;0.012658227848101266;-22.902876;-43.191611;Praça Mauá;10/2006
CISP1 (Praça Mauá);2006;11;0.01650943396226415;-22.902876;-43.191611;Praça Mauá;11/2006
CISP1 (Praça Mauá);2006;12;0.018140589569160998;-22.902876;-43.191611;Praça Mauá;12/2006
CISP1 (Praça Mauá);2007;1;0.00966183574879227;-22.902876;-43.191611;Praça Mauá;1/2007
CISP1 (Praça Mauá);2007;2;0.04854368932038835;-22.902876;-43.191611;Praça Mauá;2/2007
CISP1 (Praça Mauá);2007;3;0.023715415019762844;-22.902876;-43.191611;Praça Mauá;3/2007
CISP1 (Praça Mauá);2007;4;0.0213903743315508;-22.902876;-43.191611;Praça Mauá;4/2007
CISP1 (Praça Mauá);2007;5;0.030612244897959183;-22.902876;-43.191611;Praça Mauá;5/2007
CISP1 (Praça Mauá);2007;6;0.023936170212765957;-22.902876;-43.191611;Praça Mauá;6/2007
CISP1 (Praça Mauá);2007;7;0.04142011834319527;-22.902876;-43.191611;Praça Mauá;7/2007
CISP1 (Praça Mauá);2007;8;0.017543859649122806;-22.902876;-43.191611;Praça Mauá;8/2007
CISP1 (Praça Mauá);2007;9;0.039755351681957186;-22.902876;-43.191611;Praça Mauá;9/2007
CISP1 (Praça Mauá);2007;10;0.033950617283950615;-22.902876;-43.191611;Praça Mauá;10/2007
CISP1 (Praça Mauá);2007;11;0.020887728459530026;-22.902876;-43.191611;Praça Mauá;11/2007
CISP1 (Praça Mauá);2007;12;0.015503875968992248;-22.902876;-43.191611;Praça Mauá;12/2007
CISP1 (Praça Mauá);2008;1;0.03125;-22.902876;-43.191611;Praça Mauá;1/2008
CISP1 (Praça Mauá);2008;2;0.025210084033613446;-22.902876;-43.191611;Praça Mauá;2/2008
CISP1 (Praça Mauá);2008;3;0.014598540145985401;-22.902876;-43.191611;Praça Mauá;3/2008
CISP1 (Praça Mauá);2008;4;0.01858736059479554;-22.902876;-43.191611;Praça Mauá;4/2008
CISP1 (Praça Mauá);2008;5;0.006622516556291391;-22.902876;-43.191611;Praça Mauá;5/2008
CISP1 (Praça Mauá);2008;6;0.022222222222222223;-22.902876;-43.191611;Praça Mauá;6/2008
CISP1 (Praça Mauá);2008;7;0.01937984496124031;-22.902876;-43.191611;Praça Mauá;7/2008
CISP1 (Praça Mauá);2008;8;0.012658227848101266;-22.902876;-43.191611;Praça Mauá;8/2008
CISP1 (Praça Mauá);2008;9;0.02654867256637168;-22.902876;-43.191611;Praça Mauá;9/2008
CISP1 (Praça Mauá);2008;10;0.007194244604316547;-22.902876;-43.191611;Praça Mauá;10/2008
CISP1 (Praça Mauá);2008;11;0.009389671361502348;-22.902876;-43.191611;Praça Mauá;11/2008
CISP1 (Praça Mauá);2008;12;0.01;-22.902876;-43.191611;Praça Mauá;12/2008
CISP1 (Praça Mauá);2009;1;0.018867924528301886;-22.902876;-43.191611;Praça Mauá;1/2009
CISP1 (Praça Mauá);2009;2;0.010638297872340425;-22.902876;-43.191611;Praça Mauá;2/2009
CISP1 (Praça Mauá);2009;3;0.0211864406779661;-22.902876;-43.191611;Praça Mauá;3/2009
CISP1 (Praça Mauá);2009;4;0.022123893805309734;-22.902876;-43.191611;Praça Mauá;4/2009
CISP1 (Praça Mauá);2009;5;0.00847457627118644;-22.902876;-43.191611;Praça Mauá;5/2009
CISP1 (Praça Mauá);2009;6;0.04524886877828054;-22.902876;-43.191611;Praça Mauá;6/2009
CISP1 (Praça Mauá);2009;7;0.014563106796116505;-22.902876;-43.191611;Praça Mauá;7/2009
CISP1 (Praça Mauá);2009;8;0.017543859649122806;-22.902876;-43.191611;Praça Mauá;8/2009
CISP1 (Praça Mauá);2009;9;0.009216589861751152;-22.902876;-43.191611;Praça Mauá;9/2009
CISP1 (Praça Mauá);2009;10;0.0213903743315508;-22.902876;-43.191611;Praça Mauá;10/2009
CISP1 (Praça Mauá);2009;11;0.013392857142857142;-22.902876;-43.191611;Praça Mauá;11/2009
CISP1 (Praça Mauá);2009;12;0.011152416356877323;-22.902876;-43.191611;Praça Mauá;12/2009
CISP1 (Praça Mauá);2010;1;0.03418803418803419;-22.902876;-43.191611;Praça Mauá;1/2010
CISP1 (Praça Mauá);2010;2;0.00904977375565611;-22.902876;-43.191611;Praça Mauá;2/2010
CISP1 (Praça Mauá);2010;3;0.013100436681222707;-22.902876;-43.191611;Praça Mauá;3/2010
CISP1 (Praça Mauá);2010;4;0.03314917127071823;-22.902876;-43.191611;Praça Mauá;4/2010
CISP1 (Praça Mauá);2010;5;0.009302325581395349;-22.902876;-43.191611;Praça Mauá;5/2010
CISP1 (Praça Mauá);2010;6;0.09905660377358491;-22.902876;-43.191611;Praça Mauá;6/2010
CISP1 (Praça Mauá);2010;7;0.15789473684210525;-22.902876;-43.191611;Praça Mauá;7/2010
CISP1 (Praça Mauá);2010;8;0.02717391304347826;-22.902876;-43.191611;Praça Mauá;8/2010
