CISP;ano;mes;roubo_carga;LAT;LONG;Nome das CISP’s;mes/ano
CISP4 (Praça da República);2003;1;0.002461674590435114;-22.903061;-43.186131;Praça da República;1/2003
CISP4 (Praça da República);2003;2;0.004920211080483213;-22.903061;-43.186131;Praça da República;2/2003
CISP4 (Praça da República);2003;3;0.0;-22.903061;-43.186131;Praça da República;3/2003
CISP4 (Praça da República);2003;4;0.0024569734328093963;-22.903061;-43.186131;Praça da República;4/2003
CISP4 (Praça da República);2003;5;0.004910820735891116;-22.903061;-43.186131;Praça da República;5/2003
CISP4 (Praça da República);2003;6;0.002453849290582635;-22.903061;-43.186131;Praça da República;6/2003
CISP4 (Praça da República);2003;7;0.007357116615295661;-22.903061;-43.186131;Praça da República;7/2003
CISP4 (Praça da República);2003;8;0.0024508149872689675;-22.903061;-43.186131;Praça da República;8/2003
CISP4 (Praça da República);2003;9;0.0;-22.903061;-43.186131;Praça da República;9/2003
CISP4 (Praça da República);2003;10;0.007343119430813956;-22.903061;-43.186131;Praça da República;10/2003
CISP4 (Praça da República);2003;11;0.009784294336099005;-22.903061;-43.186131;Praça da República;11/2003
CISP4 (Praça da República);2003;12;0.03666786528670724;-22.903061;-43.186131;Praça da República;12/2003
CISP4 (Praça da República);2004;1;0.00732893124615851;-22.903061;-43.186131;Praça da República;1/2004
CISP4 (Praça da República);2004;2;0.01464859061472092;-22.903061;-43.186131;Praça da República;2/2004
CISP4 (Praça da República);2004;3;0.019519107279494824;-22.903061;-43.186131;Praça da República;3/2004
CISP4 (Praça da República);2004;4;0.01219173500400034;-22.903061;-43.186131;Praça da República;4/2004
CISP4 (Praça da República);2004;5;0.024368075380162838;-22.903061;-43.186131;Praça da República;5/2004
CISP4 (Praça da República);2004;6;0.012176350089506533;-22.903061;-43.186131;Praça da República;6/2004
CISP4 (Praça da República);2004;7;0.01460240662068141;-22.903061;-43.186131;Praça da República;7/2004
CISP4 (Praça da República);2004;8;0.009728803163949726;-22.903061;-43.186131;Praça da República;8/2004
CISP4 (Praça da República);2004;9;0.01701468353806544;-22.903061;-43.186131;Praça da República;9/2004
CISP4 (Praça da República);2004;10;0.002429139290770216;-22.903061;-43.186131;Praça da República;10/2004
CISP4 (Praça da República);2004;11;0.009710445716242326;-22.903061;-43.186131;Praça da República;11/2004
CISP4 (Praça da República);2004;12;0.012130427440543563;-22.903061;-43.186131;Praça da República;12/2004
CISP4 (Praça da República);2005;1;0.009697925222212059;-22.903061;-43.186131;Praça da República;1/2005
CISP4 (Praça da República);2005;2;0.009691837183514443;-22.903061;-43.186131;Praça da República;2/2005
CISP4 (Praça da República);2005;3;0.009685756783762527;-22.903061;-43.186131;Praça da República;3/2005
CISP4 (Praça da República);2005;4;0.012099605010734893;-22.903061;-43.186131;Praça da República;4/2005
CISP4 (Praça da República);2005;5;0.012091624793737972;-22.903061;-43.186131;Praça da República;5/2005
CISP4 (Praça da República);2005;6;0.016917674664450922;-22.903061;-43.186131;Praça da República;6/2005
CISP4 (Praça da República);2005;7;0.01932302257476685;-22.903061;-43.186131;Praça da República;7/2005
CISP4 (Praça da República);2005;8;0.026551665400733438;-22.903061;-43.186131;Praça da República;8/2005
