ano;CISP1 (Praça Mauá);CISP4 (Praça da República);CISP5 (Mem de Sá);CISP6 (Cidade Nova);CISP7 (Santa Teresa);CISP9 (Catete);CISP10 (Botafogo);CISP11 (Rocinha);CISP12 (Copacaba);CISP13 (Ipanema);CISP14 (Leblon);CISP15 (Gávea);CISP16 (Barra da Tijuca);CISP17 (São Cristovão);CISP18 (Praça da Bandeira);CISP19 (Tijuca);CISP20 (Vila Isabel);CISP21 (Bonsucesso);CISP22 (Penha);CISP23 (Méier);CISP24 (Piedade);CISP25 (Engenho Novo);CISP26 (Todos os Santos);CISP27 (Vicente de Carvalho);CISP28 (Praça de Seca);CISP29 (Madureira);CISP30 (Marechal Hermes);CISP31 (Ricardo de Albuquerque);CISP32 (Taquara);CISP33 (Realengo);CISP34 (Bangu);CISP35 (Campo Grande);CISP36 (Santa Cruz);CISP37 (Ilha do governador);CISP38 (Brás de Pina);CISP39 (Pavuna);CISP40 (Honório Gurgel);CISP41 (Tanque);CISP42 (Recreio dos Bandeirantes);CISP43 (Guaratiba);CISP44 (Inhaúma);CISP45 (Complexo do Alemão);CISP48 (Seropédica);CISP50 (Itaguaí);CISP51 (Paracambi);CISP52 (Nova Iguaçu);CISP53 (Mesquita);CISP54 (Belford Roxo);CISP55 (Queimados);CISP56 (Comendador Soares);CISP57 (Nilópolis);CISP58 (Posse);CISP59 (Duque de Caxias);CISP60 (Campos Elíseos);CISP61 (Xerém);CISP62 (Imbariê);CISP63 (Japeri);CISP64 (São João de Meriti);CISP65 (Magé);CISP66 (Piabetá);CISP67 (Guapimirim);CISP70 (Tanguá);CISP71 (Itaborí);CISP72 (São Gonçalo);CISP73 (Neves);CISP74 (Alcântara);CISP75 (Rio do Ouro);CISP76 (Niterói);CISP77 (Icaraí);CISP78 (Fonseca);CISP79 (Juruba);CISP81 (Itaipu);CISP82 (Maricá);CISP88 (Barra do Piraí);CISP89 (Resende);CISP90 (Barra Mansa);CISP91 (Valença);CISP92 (Rio das Flores);CISP93 (Volta Redonda);CISP94 (Piraí);CISP95 (Vassouras);CISP96 (Miguel Pereira);CISP97 (Mendes);CISP98 (Engenheiro Paulo de Frontin);CISP99 (Itatiaia);CISP100 (Porto Real);CISP101 (Pinheiral);CISP104 (São José do Vale do Rio Preto);CISP105 (Petrópolis);CISP106 (Itaipava);CISP107 (Paraíba do Sul);CISP108 (Três Rios);CISP109 (Sapucaia);CISP110 (Teresópolis);CISP111 (Sumidouro);CISP112 (Carmo);CISP118 (Araruma);CISP119 (Rio Bonito);CISP120 (Silva Jardim);CISP121 (Casimiro de Abreu);CISP122 (Conceição de Macabu);CISP123 (Macaé);CISP124 (Saquarema);CISP125 (São Pedro da Aldeia);CISP126 (Cabo Frio);CISP127 (Armação de Búzios);CISP128 (Rio das Ostras);CISP129 (Iguaba Grande);CISP130 (Quissamã);CISP132 (Arraial do cabo);CISP134 (Campos);CISP135 (Itaocara);CISP136 (Santo Antônio de Pádua);CISP137 (Miracema);CISP138 (Laje do Muriaé);CISP139 (Porciúncula);CISP140 (Natividade);CISP141 (São Fidelis);CISP142 (Cambuci);CISP143 (Itaperuna);CISP144 (Bom Jesus do Itabapoana);CISP145 (São João da Barra);CISP146 (Guarus);CISP147 (São Francisco de Itabapoana);CISP148 (Italva);CISP151 (Nova Friburgo);CISP152 (Duas Barras);CISP153 (Cantagalo);CISP154 (Cordeiro);CISP155 (São Sebastião do Alto);CISP156 (Santa Maria Madalena);CISP157 (Trajano de Moraes);CISP158 (Bom jardim);CISP159 (Cachoeira de Macacu);CISP165 (Mangaratiba);CISP166 (Angra dos Reis);CISP167 (Paraty);CISP168 (Claro)
2003;0.0105573287503069;0.008102136017677388;0.006874539651362632;0.016695310581880677;0.001718634912840658;0.0024551927326295114;0.001964154186103609;;0.0007365578197888534;0.00024551927326295114;0.0004910385465259023;0.0009820770930518046;0.004173827645470169;0.028480235698502332;0.006874539651362632;0.010311809477043948;0.009084213110729192;0.04615762337343481;0.037809968082494476;0.03191750552418365;0.018413945494721334;0.03019887061134299;0.0;0.011784925116621655;0.00883869383746624;0.009820770930518046;0.01080284802356985;0.003437269825681316;0.020623618954087895;0.015958752762091823;0.03977412226859808;0.025534004419346917;0.024551927326295114;0.022587773140191506;0.056960471397004664;0.03707341026270562;0.02774367787871348;0.003682789098944267;;0.0;0.03952860299533514;;0.011784925116621655;0.0012275963663147557;0.004910385465259023;0.0316719862509207;0.006629020378099681;0.015713233488828873;0.013994598575988216;0.006874539651362632;0.005401424011784925;0.0056469432850478765;0.05033145101890498;0.012275963663147557;0.001964154186103609;0.006874539651362632;;0.01939602258777314;0.009575251657255094;0.0029462312791554137;;;0.024551927326295114;0.008102136017677388;0.0027007120058924624;0.006137981831573778;0.001718634912840658;0.008102136017677388;0.0012275963663147557;0.0058924625583108275;0.0012275963663147557;0.0;0.003437269825681316;0.0007365578197888534;0.0031917505524183647;0.004910385465259023;0.0;0.0;0.004664866191996072;0.010066290203780998;0.001718634912840658;0.0;0.0;0.00024551927326295114;0.0014731156395777069;0.00024551927326295114;;0.00024551927326295114;0.004910385465259023;0.0014731156395777069;0.0004910385465259023;0.007611097471151486;0.005155904738521974;0.001718634912840658;0.00024551927326295114;0.0007365578197888534;0.00220967345936656;0.004173827645470169;0.003682789098944267;0.00441934691873312;0.00220967345936656;0.009329732383992144;0.0009820770930518046;0.00220967345936656;0.001964154186103609;0.00024551927326295114;0.001718634912840658;0.0007365578197888534;;;0.005155904738521974;0.00024551927326295114;0.0004910385465259023;0.0;0.0;0.0;0.0;0.00024551927326295114;0.0;0.0009820770930518046;0.0;0.00024551927326295114;0.0014731156395777069;0.0;;0.0007365578197888534;0.0;0.0;0.00024551927326295114;0.00024551927326295114;0.0;0.00024551927326295114;0.0004910385465259023;0.0004910385465259023;0.00024551927326295114;0.0009820770930518046;0.0;0.0004910385465259023
2004;0.005303351718285956;0.013576580398812049;0.00615188799321171;0.011879507848960543;0.0027577428935086977;0.002333474756045821;0.0008485362749257531;;0.0006364022061943148;0.0;0.00042426813746287653;0.0010606703436571913;0.0021213406873143827;0.044760288502333476;0.007424692405600339;0.006576156130674586;0.011243105642766229;0.07403478998727196;0.04179041154009334;0.028850233347475603;0.018879932117098007;0.037335596096733134;0.0;0.011455239711497667;0.008061094611794654;0.00975816716164616;0.016334323292320745;0.0012728044123886295;0.013788714467543487;0.01697072549851506;0.022274077216801018;0.01951633432329232;0.01951633432329232;0.013576580398812049;0.044336020364870596;0.047518031395842174;0.030123037759864236;0.002969876962240136;;0.00021213406873143826;0.06830717013152313;;0.007212558336868901;0.0012728044123886295;0.004454815443360204;0.02609249045396691;0.004242681374628765;0.018667798048366567;0.005939753924480272;0.006576156130674586;0.005515485787017395;0.005303351718285956;0.06279168434450573;0.010394569367840474;0.0021213406873143827;0.012091641917691982;0.00042426813746287653;0.020577004666949512;0.007636826474331778;0.001484938481120068;;;0.016546457361052185;0.007848960543063216;0.002545608824777259;0.005303351718285956;0.001484938481120068;0.00487908358082308;0.0006364022061943148;0.002545608824777259;0.0006364022061943148;0.00021213406873143826;0.0021213406873143827;0.002545608824777259;0.004666949512091642;0.004666949512091642;0.0;0.0;0.0021213406873143827;0.00975816716164616;0.00021213406873143826;0.0;0.00021213406873143826;0.0;0.0012728044123886295;0.00042426813746287653;0.0;0.0;0.004242681374628765;0.0016970725498515061;0.0006364022061943148;0.008061094611794654;0.002969876962240136;0.003182011030971574;0.0;0.0006364022061943148;0.0012728044123886295;0.004454815443360204;0.0012728044123886295;0.0027577428935086977;0.0010606703436571913;0.009121764955451845;0.0008485362749257531;0.0006364022061943148;0.00042426813746287653;0.0006364022061943148;0.0012728044123886295;0.0006364022061943148;;;0.0057276198557488335;0.0008485362749257531;0.00021213406873143826;0.0;0.0;0.0;0.0;0.0008485362749257531;0.0;0.0008485362749257531;0.00021213406873143826;0.0;0.002545608824777259;0.00021213406873143826;;0.0010606703436571913;0.00021213406873143826;0.00042426813746287653;0.00021213406873143826;0.0;0.0;0.0;0.0;0.00021213406873143826;0.001484938481120068;0.0016970725498515061;0.0;0.0
2005;0.008437905668541757;0.014279532669839896;0.008005192557334487;0.010817827780181739;0.0017308524448290783;0.003028991778450887;0.0015144958892254435;;0.0012981393336218088;0.00043271311120726956;0.0015144958892254435;0.0010817827780181739;0.004543487667676331;0.024881003894418;0.0054089138900908695;0.008437905668541757;0.01038511466897447;0.09216789268714842;0.04370402423193423;0.018823020337516226;0.019255733448723496;0.04500216356555604;0.0008654262224145391;0.024231934227607096;0.009736045002163565;0.010817827780181739;0.019255733448723496;0.00021635655560363478;0.016443098225876245;0.012765036780614452;0.019688446559930767;0.014712245781047165;0.014063176114236261;0.005625270445694505;0.05300735612289052;0.053440069234097796;0.02617914322803981;0.0049762007788836;;0.0017308524448290783;0.041756815231501515;;0.006923409779316313;0.0017308524448290783;0.0019472090004327132;0.018606663781912593;0.006707053223712679;0.025097360450021637;0.003028991778450887;0.005841627001298139;0.006707053223712679;0.006923409779316313;0.06577239290350498;0.01730852444829078;0.0021635655560363477;0.029208135006490697;0.0006490696668109044;0.02747728256166162;0.007139766334919948;0.002379922111639983;;;0.012765036780614452;0.008870618779749026;0.0036780614452617912;0.004759844223279966;0.0017308524448290783;0.004759844223279966;0.0010817827780181739;0.0049762007788836;0.0006490696668109044;0.0006490696668109044;0.0015144958892254435;0.0010817827780181739;0.0049762007788836;0.0028126352228472523;0.00043271311120726956;0.0;0.0006490696668109044;0.009736045002163565;0.0006490696668109044;0.00021635655560363478;0.0;0.0;0.0006490696668109044;0.00021635655560363478;0.00021635655560363478;0.00021635655560363478;0.0036780614452617912;0.0008654262224145391;0.0012981393336218088;0.004759844223279966;0.0012981393336218088;0.0019472090004327132;0.0;0.0;0.0010817827780181739;0.0025962786672436176;0.0021635655560363477;0.0036780614452617912;0.0008654262224145391;0.005841627001298139;0.0006490696668109044;0.0006490696668109044;0.0015144958892254435;0.0;0.0010817827780181739;0.0;;;0.0034617048896581565;0.00021635655560363478;0.00021635655560363478;0.0;0.0;0.0;0.0;0.00043271311120726956;0.0;0.0;0.00043271311120726956;0.00021635655560363478;0.0012981393336218088;0.0;;0.00043271311120726956;0.0;0.0;0.00021635655560363478;0.0;0.0;0.0;0.0;0.0010817827780181739;0.00021635655560363478;0.00043271311120726956;0.0;0.00021635655560363478
2006;0.01576872536136662;0.005037231712658782;0.00700832238282961;0.007227332457293035;0.0008760402978537013;0.0024091108190976785;0.0019710906701708277;;0.001314060446780552;0.0004380201489268506;0.0008760402978537013;0.0019710906701708277;0.0056942619360490585;0.03153745072273324;0.008979413053000438;0.020367936925098553;0.015111695137976347;0.07227332457293036;0.04971528690319755;0.021243977222952255;0.015111695137976347;0.03832676303109943;0.009636443276390714;0.022777047744196234;0.0056942619360490585;0.012045554095488393;0.008979413053000438;0.008541392904073587;0.01073149364870784;0.015111695137976347;0.025405168637757335;0.013359614542268944;0.01576872536136662;0.006570302233902759;0.06219886114761279;0.07774857643451599;0.04643013578624617;0.002190100744634253;;0.0017520805957074025;0.03263250109505037;;0.004380201489268506;0.0010950503723171265;0.0017520805957074025;0.017739816031537452;0.0032851511169513796;0.014235654840122645;0.0030661410424879547;0.0045992115637319315;0.0019710906701708277;0.005913272010512484;0.06176084099868594;0.008103372755146736;0.001314060446780552;0.009417433201927288;0.0010950503723171265;0.02343407796758651;0.0037231712658782304;0.0008760402978537013;;;0.010512483574244415;0.011169513797634692;0.001314060446780552;0.006789312308366185;0.0015330705212439773;0.006132282084975909;0.0015330705212439773;0.0017520805957074025;0.0004380201489268506;0.0008760402978537013;0.0019710906701708277;0.001314060446780552;0.0032851511169513796;0.004818221638195357;0.0;0.0002190100744634253;0.001314060446780552;0.008760402978537012;0.000657030223390276;0.0002190100744634253;0.0004380201489268506;0.0;0.0004380201489268506;0.0002190100744634253;0.0;0.0002190100744634253;0.004161191414805081;0.0008760402978537013;0.0008760402978537013;0.003942181340341655;0.0024091108190976785;0.0019710906701708277;0.0002190100744634253;0.0002190100744634253;0.002628120893561104;0.005037231712658782;0.0024091108190976785;0.0028471309680245293;0.0;0.010074463425317565;0.000657030223390276;0.0010950503723171265;0.0015330705212439773;0.0002190100744634253;0.002628120893561104;0.000657030223390276;;;0.006132282084975909;0.0004380201489268506;0.0004380201489268506;0.0004380201489268506;0.0;0.0;0.0;0.0010950503723171265;0.0004380201489268506;0.000657030223390276;0.0;0.0;0.0056942619360490585;0.0;;0.0030661410424879547;0.0;0.0002190100744634253;0.0;0.0002190100744634253;0.0;0.0;0.0;0.000657030223390276;0.0004380201489268506;0.000657030223390276;0.0;0.0004380201489268506
2007;0.026386404293381037;0.005813953488372093;0.013193202146690518;0.012745974955277281;0.0022361359570661895;0.006708407871198569;0.0029069767441860465;;0.0015652951699463328;0.00022361359570661896;0.0013416815742397137;0.0017889087656529517;0.0022361359570661895;0.0342128801431127;0.009391771019677997;0.02616279069767442;0.022808586762075134;0.05411449016100179;0.0353309481216458;0.02146690518783542;0.018112701252236137;0.038461538461538464;0.014758497316636851;0.022808586762075134;0.007602862254025045;0.012298747763864044;0.01073345259391771;0.018336314847942754;0.014311270125223614;0.0129695885509839;0.03041144901610018;0.009168157423971377;0.0073792486583184255;0.004025044722719142;0.0389087656529517;0.07468694096601074;0.04427549194991055;0.0024597495527728087;;0.0013416815742397137;0.04203935599284436;;0.0031305903398926656;0.0017889087656529517;0.0008944543828264759;0.02101967799642218;0.005813953488372093;0.010286225402504472;0.0013416815742397137;0.0031305903398926656;0.006261180679785331;0.0031305903398926656;0.0436046511627907;0.0033542039355992843;0.0029069767441860465;0.005813953488372093;0.0008944543828264759;0.02101967799642218;0.006932021466905188;0.0015652951699463328;;;0.011851520572450805;0.02616279069767442;0.0031305903398926656;0.012075134168157423;0.0013416815742397137;0.008050089445438283;0.0015652951699463328;0.0024597495527728087;0.0;0.0008944543828264759;0.0011180679785330948;0.0017889087656529517;0.0017889087656529517;0.0031305903398926656;0.0;0.0;0.0017889087656529517;0.004025044722719142;0.0022361359570661895;0.0;0.0;0.00022361359570661896;0.0008944543828264759;0.0008944543828264759;0.0;0.00022361359570661896;0.0038014311270125225;0.0011180679785330948;0.0006708407871198568;0.004695885509838999;0.0026833631484794273;0.0011180679785330948;0.0;0.0004472271914132379;0.0017889087656529517;0.0035778175313059034;0.0024597495527728087;0.004919499105545617;0.0022361359570661895;0.010286225402504472;0.00022361359570661896;0.004025044722719142;0.0017889087656529517;0.0008944543828264759;0.0006708407871198568;0.00022361359570661896;;;0.005813953488372093;0.00022361359570661896;0.0004472271914132379;0.0;0.0;0.0;0.0;0.0004472271914132379;0.0;0.0011180679785330948;0.00022361359570661896;0.0;0.0038014311270125225;0.0;;0.002012522361359571;0.0;0.00022361359570661896;0.00022361359570661896;0.00022361359570661896;0.00022361359570661896;0.00022361359570661896;0.0;0.0004472271914132379;0.0;0.002012522361359571;0.00022361359570661896;0.00022361359570661896
2008;0.017023959646910468;0.006305170239596469;0.01828499369482976;0.012925598991172762;0.0025220680958385876;0.011034047919293822;0.00819672131147541;;0.0025220680958385876;0.0006305170239596469;0.0009457755359394704;0.0028373266078184113;0.00914249684741488;0.014501891551071878;0.004413619167717529;0.02080706179066835;0.012610340479192938;0.055170239596469106;0.034363177805800754;0.015762925598991173;0.02080706179066835;0.012925598991172762;0.007566204287515763;0.012925598991172762;0.005989911727616645;0.014501891551071878;0.007250945775535939;0.0028373266078184113;0.017654476670870115;0.017023959646910468;0.023329129886506934;0.017654476670870115;0.005989911727616645;0.004098360655737705;0.056116015132408575;0.08638083228247162;0.032471626733921816;0.005989911727616645;;0.0006305170239596469;0.026166456494325346;;0.004728877679697352;0.0015762925598991173;0.0006305170239596469;0.029319041614123582;0.011034047919293822;0.00914249684741488;0.0028373266078184113;0.0028373266078184113;0.00819672131147541;0.004728877679697352;0.06116015132408575;0.005359394703656999;0.0025220680958385876;0.010403530895334174;0.0009457755359394704;0.03026481715006305;0.0037831021437578815;0.0015762925598991173;;;0.009773013871374527;0.03184110970996217;0.005359394703656999;0.009773013871374527;0.0018915510718789407;0.008511979823455234;0.0022068095838587644;0.0037831021437578815;0.0012610340479192938;0.0012610340479192938;0.0025220680958385876;0.0015762925598991173;0.0034678436317780582;0.0018915510718789407;0.0;0.0;0.0015762925598991173;0.0025220680958385876;0.004098360655737705;0.00031525851197982345;0.0;0.0;0.0015762925598991173;0.0009457755359394704;0.0;0.00031525851197982345;0.005989911727616645;0.0006305170239596469;0.0009457755359394704;0.007566204287515763;0.0009457755359394704;0.0037831021437578815;0.0;0.0;0.0031525851197982345;0.0018915510718789407;0.0031525851197982345;0.006305170239596469;0.0012610340479192938;0.012925598991172762;0.0022068095838587644;0.0015762925598991173;0.0018915510718789407;0.0;0.004413619167717529;0.0;0.00031525851197982345;;0.008827238335435058;0.0;0.0006305170239596469;0.00031525851197982345;0.0;0.0;0.0;0.0012610340479192938;0.0;0.0025220680958385876;0.0;0.0;0.006305170239596469;0.0009457755359394704;;0.0031525851197982345;0.0006305170239596469;0.0;0.0;0.00031525851197982345;0.0;0.0;0.0;0.0;0.00031525851197982345;0.0;0.0;0.0
2009;0.017735849056603775;0.006415094339622641;0.014339622641509434;0.01169811320754717;0.0033962264150943396;0.012452830188679246;0.006415094339622641;;0.0026415094339622643;0.0003773584905660377;0.0015094339622641509;0.0026415094339622643;0.012452830188679246;0.019622641509433963;0.0022641509433962265;0.015849056603773583;0.006792452830188679;0.04716981132075472;0.04264150943396226;0.007547169811320755;0.010566037735849057;0.012452830188679246;0.004905660377358491;0.017358490566037735;0.009056603773584906;0.01169811320754717;0.009433962264150943;0.0018867924528301887;0.009056603773584906;0.012452830188679246;0.023773584905660377;0.020754716981132074;0.006415094339622641;0.006792452830188679;0.056981132075471695;0.08;0.018867924528301886;0.0007547169811320754;;0.0015094339622641509;0.009433962264150943;;0.007547169811320755;0.0007547169811320754;0.004905660377358491;0.022641509433962263;0.0022641509433962265;0.018867924528301886;0.0037735849056603774;0.0022641509433962265;0.005283018867924529;0.0026415094339622643;0.07886792452830188;0.005660377358490566;0.0011320754716981133;0.006792452830188679;0.0003773584905660377;0.0539622641509434;0.00830188679245283;0.0022641509433962265;;;0.006792452830188679;0.038490566037735846;0.009056603773584906;0.006792452830188679;0.0018867924528301887;0.01849056603773585;0.0030188679245283017;0.0030188679245283017;0.0003773584905660377;0.0015094339622641509;0.005660377358490566;0.0030188679245283017;0.0015094339622641509;0.0030188679245283017;0.0007547169811320754;0.0;0.0022641509433962265;0.005283018867924529;0.0037735849056603774;0.0;0.0;0.0003773584905660377;0.0003773584905660377;0.0015094339622641509;0.0003773584905660377;0.0;0.004150943396226415;0.0015094339622641509;0.0007547169811320754;0.006415094339622641;0.0033962264150943396;0.0007547169811320754;0.0;0.0003773584905660377;0.004150943396226415;0.004150943396226415;0.0015094339622641509;0.007924528301886792;0.0011320754716981133;0.014339622641509434;0.0007547169811320754;0.0015094339622641509;0.004528301886792453;0.0007547169811320754;0.0033962264150943396;0.0003773584905660377;0.0030188679245283017;;0.01169811320754717;0.0;0.0015094339622641509;0.0;0.0;0.0;0.0;0.0026415094339622643;0.0;0.0015094339622641509;0.0;0.0003773584905660377;0.006415094339622641;0.0007547169811320754;;0.0033962264150943396;0.0;0.0;0.0;0.0;0.0;0.0007547169811320754;0.0003773584905660377;0.0003773584905660377;0.0011320754716981133;0.0003773584905660377;0.0;0.0
2010;0.045055364642993506;0.0061092019854906456;0.021382206949217258;0.013745704467353952;0.0038182512409316535;0.010691103474608629;0.008018327605956471;;0.0038182512409316535;0.001145475372279496;0.0030546009927453228;0.0038182512409316535;0.004200076365024819;0.011836578846888126;0.0061092019854906456;0.015273004963726614;0.004963726613211149;0.043909889270714014;0.030927835051546393;0.011454753722794959;0.006491027109583811;0.014891179839633447;0.0038182512409316535;0.011072928598701794;0.005345551737304314;0.008018327605956471;0.011072928598701794;0.0007636502481863307;0.004581901489117984;0.015273004963726614;0.03665521191294387;0.026727758686521573;0.0038182512409316535;0.006491027109583811;0.041618938526155023;0.06338297059946545;0.008400152730049638;0.001145475372279496;0.0;0.0030546009927453228;0.010309278350515464;;0.0057273768613974796;0.005345551737304314;0.0038182512409316535;0.018327605956471937;0.004581901489117984;0.0286368843069874;0.0038182512409316535;0.009163802978235968;0.004581901489117984;0.002290950744558992;0.09011072928598701;0.007254677357770141;0.005345551737304314;0.004581901489117984;0.0007636502481863307;0.05078274150439099;0.006872852233676976;0.002290950744558992;;;0.010691103474608629;0.042764413898434515;0.0061092019854906456;0.007254677357770141;0.002290950744558992;0.012982054219167621;0.002672775868652157;0.0015273004963726614;0.00038182512409316535;0.0007636502481863307;0.0030546009927453228;0.002672775868652157;0.0015273004963726614;0.0015273004963726614;0.0019091256204658267;0.0;0.0019091256204658267;0.005345551737304314;0.0007636502481863307;0.0;0.0;0.0;0.0015273004963726614;0.0007636502481863307;0.0;0.0;0.004200076365024819;0.0;0.00038182512409316535;0.002672775868652157;0.0019091256204658267;0.0038182512409316535;0.00038182512409316535;0.001145475372279496;0.003436426116838488;0.002290950744558992;0.002672775868652157;0.004200076365024819;0.003436426116838488;0.01794578083237877;0.001145475372279496;0.002672775868652157;0.006491027109583811;0.00038182512409316535;0.010309278350515464;0.0015273004963726614;0.004200076365024819;;0.011454753722794959;0.0015273004963726614;0.0015273004963726614;0.0;0.0;0.0;0.0;0.0007636502481863307;0.0;0.0;0.0;0.001145475372279496;0.004200076365024819;0.0;0.0;0.0030546009927453228;0.00038182512409316535;0.00038182512409316535;0.0;0.0;0.00038182512409316535;0.0;0.001145475372279496;0.001145475372279496;0.0015273004963726614;0.001145475372279496;0.0;0.0
2011;0.013342011064106736;0.0032541490400260333;0.00683371298405467;0.0039049788480312398;0.002277904328018223;0.005206638464041653;0.002277904328018223;;0.0035795639440286365;0.0016270745200130166;0.0026033192320208264;0.0032541490400260333;0.0035795639440286365;0.014318255776114546;0.00292873413602343;0.010413276928083305;0.009762447120078099;0.03416856492027335;0.029612756264236904;0.00878620240807029;0.007484542792059876;0.008460787504067686;0.0035795639440286365;0.015294500488122356;0.00292873413602343;0.00585746827204686;0.01269118125610153;0.00683371298405467;0.006182883176049463;0.013342011064106736;0.03058900097624471;0.03807354376830459;0.009437032216075496;0.005532053368044257;0.032216075496257726;0.07354376830458835;0.021802798568174422;0.0016270745200130166;0.0006508298080052066;0.006182883176049463;0.005532053368044257;;0.00683371298405467;0.0009762447120078099;0.0009762447120078099;0.027985681744223886;0.005206638464041653;0.022779043280182234;0.004230393752033843;0.008460787504067686;0.007159127888057273;0.008135372600065083;0.12203058900097624;0.008135372600065083;0.0035795639440286365;0.0032541490400260333;0.0009762447120078099;0.05076472502440612;0.0048812235600390495;0.0026033192320208264;0.0003254149040026033;0.0009762447120078099;0.020175724048161404;0.059550927432476405;0.01171493654409372;0.021477383664171817;0.0048812235600390495;0.010087862024080702;0.0003254149040026033;0.0035795639440286365;0.0;0.0009762447120078099;0.0048812235600390495;0.0016270745200130166;0.002277904328018223;0.004230393752033843;0.0;0.0;0.0009762447120078099;0.0048812235600390495;0.0;0.0;0.0;0.0;0.0009762447120078099;0.0019524894240156199;0.0;0.0;0.0026033192320208264;0.0009762447120078099;0.0;0.0019524894240156199;0.0019524894240156199;0.002277904328018223;0.0003254149040026033;0.0006508298080052066;0.004555808656036446;0.00292873413602343;0.0039049788480312398;0.00683371298405467;0.0013016596160104132;0.013992840872111943;0.0039049788480312398;0.0039049788480312398;0.005532053368044257;0.0013016596160104132;0.008460787504067686;0.0003254149040026033;0.002277904328018223;0.0006508298080052066;0.0035795639440286365;0.0003254149040026033;0.0003254149040026033;0.0;0.0;0.0;0.0;0.0009762447120078099;0.0;0.0006508298080052066;0.0;0.0;0.004230393752033843;0.0;0.0006508298080052066;0.0003254149040026033;0.0006508298080052066;0.0003254149040026033;0.0;0.0006508298080052066;0.0;0.0;0.0;0.0006508298080052066;0.0013016596160104132;0.0003254149040026033;0.0;0.0
2012;0.006838074398249453;0.0030087527352297594;0.004649890590809628;0.00437636761487965;0.0016411378555798686;0.0057439824945295405;0.0013676148796498905;;0.0016411378555798686;0.0002735229759299781;0.0010940919037199124;0.0010940919037199124;0.004102844638949671;0.019693654266958426;0.002188183807439825;0.0057439824945295405;0.004102844638949671;0.021334792122538294;0.03036105032822757;0.00437636761487965;0.009026258205689279;0.009573304157549234;0.004102844638949671;0.02188183807439825;0.004923413566739606;0.006291028446389497;0.00738512035010941;0.009573304157549234;0.0035557986870897156;0.02188183807439825;0.04048140043763676;0.036925601750547044;0.008479212253829322;0.002735229759299781;0.05196936542669584;0.10366520787746171;0.02160831509846827;0.004649890590809628;0.0030087527352297594;0.002461706783369803;0.006291028446389497;;0.006838074398249453;0.0030087527352297594;0.0030087527352297594;0.024890590809628008;0.005470459518599562;0.027899343544857767;0.004649890590809628;0.013949671772428883;0.008205689277899343;0.006291028446389497;0.10667396061269147;0.013676148796498906;0.004649890590809628;0.006838074398249453;0.0030087527352297594;0.053610503282275714;0.0057439824945295405;0.0019146608315098468;0.002735229759299781;0.0008205689277899343;0.01012035010940919;0.06044857768052517;0.011487964989059081;0.023796498905908098;0.0038293216630196935;0.006291028446389497;0.0013676148796498905;0.0038293216630196935;0.0;0.0013676148796498905;0.0032822757111597373;0.0005470459518599562;0.0035557986870897156;0.002188183807439825;0.0;0.0;0.0035557986870897156;0.006838074398249453;0.0005470459518599562;0.0002735229759299781;0.0;0.0;0.0002735229759299781;0.0013676148796498905;0.0002735229759299781;0.0002735229759299781;0.0016411378555798686;0.0008205689277899343;0.0002735229759299781;0.0013676148796498905;0.0010940919037199124;0.002188183807439825;0.0;0.0002735229759299781;0.002735229759299781;0.0019146608315098468;0.0008205689277899343;0.0030087527352297594;0.0013676148796498905;0.005470459518599562;0.0010940919037199124;0.0030087527352297594;0.002735229759299781;0.0002735229759299781;0.0030087527352297594;0.0;0.0;0.0;0.0032822757111597373;0.0002735229759299781;0.0002735229759299781;0.0;0.0;0.0;0.0;0.0;0.0002735229759299781;0.0005470459518599562;0.0002735229759299781;0.0008205689277899343;0.0038293216630196935;0.0;0.0002735229759299781;0.0010940919037199124;0.0;0.0;0.0002735229759299781;0.0;0.0002735229759299781;0.0;0.0002735229759299781;0.0;0.0005470459518599562;0.0010940919037199124;0.0;0.0
