ano;CISP4 (Praça da República);CISP5 (Mem de Sá);CISP6 (Cidade Nova);CISP7 (Santa Teresa);CISP9 (Catete);CISP10 (Botafogo);CISP11 (Rocinha);CISP12 (Copacaba);CISP13 (Ipanema);CISP14 (Leblon);CISP15 (Gávea);CISP16 (Barra da Tijuca);CISP17 (São Cristovão);CISP18 (Praça da Bandeira);CISP19 (Tijuca);CISP20 (Vila Isabel);CISP21 (Bonsucesso);CISP22 (Penha);CISP23 (Méier);CISP24 (Piedade);CISP25 (Engenho Novo);CISP26 (Todos os Santos);CISP27 (Vicente de Carvalho);CISP28 (Praça de Seca);CISP29 (Madureira);CISP30 (Marechal Hermes);CISP31 (Ricardo de Albuquerque);CISP32 (Taquara);CISP33 (Realengo);CISP34 (Bangu);CISP35 (Campo Grande);CISP36 (Santa Cruz);CISP37 (Ilha do governador);CISP38 (Brás de Pina);CISP39 (Pavuna);CISP40 (Honório Gurgel);CISP41 (Tanque);CISP42 (Recreio dos Bandeirantes);CISP43 (Guaratiba);CISP44 (Inhaúma);CISP45 (Complexo do Alemão);CISP48 (Seropédica);CISP50 (Itaguaí);CISP51 (Paracambi);CISP52 (Nova Iguaçu);CISP53 (Mesquita);CISP54 (Belford Roxo);CISP55 (Queimados);CISP56 (Comendador Soares);CISP57 (Nilópolis);CISP58 (Posse);CISP59 (Duque de Caxias);CISP60 (Campos Elíseos);CISP61 (Xerém);CISP62 (Imbariê);CISP63 (Japeri);CISP64 (São João de Meriti);CISP65 (Magé);CISP66 (Piabetá);CISP67 (Guapimirim);CISP70 (Tanguá);CISP71 (Itaborí);CISP72 (São Gonçalo);CISP73 (Neves);CISP74 (Alcântara);CISP75 (Rio do Ouro);CISP76 (Niterói);CISP77 (Icaraí);CISP78 (Fonseca);CISP79 (Juruba);CISP81 (Itaipu);CISP82 (Maricá);CISP88 (Barra do Piraí);CISP89 (Resende);CISP90 (Barra Mansa);CISP91 (Valença);CISP92 (Rio das Flores);CISP93 (Volta Redonda);CISP94 (Piraí);CISP95 (Vassouras);CISP96 (Miguel Pereira);CISP97 (Mendes);CISP98 (Engenheiro Paulo de Frontin);CISP99 (Itatiaia);CISP100 (Porto Real);CISP101 (Pinheiral);CISP104 (São José do Vale do Rio Preto);CISP105 (Petrópolis);CISP106 (Itaipava);CISP107 (Paraíba do Sul);CISP108 (Três Rios);CISP109 (Sapucaia);CISP110 (Teresópolis);CISP111 (Sumidouro);CISP112 (Carmo);CISP118 (Araruma);CISP119 (Rio Bonito);CISP120 (Silva Jardim);CISP121 (Casimiro de Abreu);CISP122 (Conceição de Macabu);CISP123 (Macaé);CISP124 (Saquarema);CISP125 (São Pedro da Aldeia);CISP126 (Cabo Frio);CISP127 (Armação de Búzios);CISP128 (Rio das Ostras);CISP129 (Iguaba Grande);CISP130 (Quissamã);CISP132 (Arraial do cabo);CISP134 (Campos);CISP135 (Itaocara);CISP136 (Santo Antônio de Pádua);CISP137 (Miracema);CISP138 (Laje do Muriaé);CISP139 (Porciúncula);CISP140 (Natividade);CISP141 (São Fidelis);CISP142 (Cambuci);CISP143 (Itaperuna);CISP144 (Bom Jesus do Itabapoana);CISP145 (São João da Barra);CISP146 (Guarus);CISP147 (São Francisco de Itabapoana);CISP148 (Italva);CISP151 (Nova Friburgo);CISP152 (Duas Barras);CISP153 (Cantagalo);CISP154 (Cordeiro);CISP155 (São Sebastião do Alto);CISP156 (Santa Maria Madalena);CISP157 (Trajano de Moraes);CISP158 (Bom jardim);CISP159 (Cachoeira de Macacu);CISP165 (Mangaratiba);CISP166 (Angra dos Reis);CISP167 (Paraty);CISP168 (Claro)
2003;0.03367116649426115;0.02386882540789626;0.027099438884381995;0.005503742971443996;0.002357495521294191;0.0024935582327307677;;0.0010524483236798168;0.0004632170179099665;0.0007248429932339594;0.0008676699095876146;0.0017970759626746787;0.04648162311069114;0.01330498363182406;0.009698697463816408;0.007257327670731677;0.022721373258931966;0.020667802214681764;0.04534955192582294;0.02487892225591739;0.03045868064709868;0.0;0.008130487426862397;0.006726285531445023;0.01228493775658309;0.011254018405319153;0.0028455094693417855;0.007324273262189129;0.008607156641987053;0.012178640667774708;0.0061734680305683695;0.010314904659510975;0.013926446213720998;0.03575751496648801;0.02754638484974616;0.03258755363453105;0.003373563005649331;;0.0;0.04367653369117704;;0.021257207526029036;0.0017077024725017168;0.014403955404552662;0.022660729063875205;0.004899470209310812;0.004391578604035523;0.008151645089405758;0.0033054229275140366;0.00433573785685849;0.0020518433694653553;0.018966788364881627;0.005758303741279588;0.004320396273882673;0.005799108045177255;;0.005330158827462541;0.009697771535036539;0.002796197819064641;;;0.013649152289172663;0.0031622965335143163;0.002178478699575047;0.0037865583655623493;0.0008594871114101119;0.013738710708282387;0.0010977692339908063;0.006061673011900766;0.0021832685893161843;0.0;0.004780443170496463;0.001013200380857872;0.0036422894487053974;0.0035305487165306466;0.0;0.0;0.0023500488168046174;0.028624738455069347;0.006610078603257582;0.0;0.0;0.0024455898153008717;0.007071229912865002;0.0012397878316007182;;0.0015594775637972744;0.0024790921344633047;0.004240412100763505;0.00158598495351355;0.010291567755905598;0.03710747375048168;0.001469639156865935;0.0021204516321977674;0.00575574015010256;0.0030289726976245124;0.010094977425639681;0.021496837859812358;0.021549133392548308;0.014096540391234244;0.006563995518169546;0.0020963038551465103;0.003934669821195631;0.0014590970558889425;0.0014799756759649627;0.004260232775813451;0.005355970486078468;;;0.0023890986246725924;0.0013281899066556538;0.0012746716744592432;0.0;0.0;0.0;0.0;0.0008243145441101657;0.0;0.0010038222910246316;0.0;0.001048025917483381;0.0009327878161102327;;;0.0005201567036254484;0.0;0.0;0.001264450001479224;0.0035698114584876185;0.0;0.0030170254658057625;0.002605121118143244;0.0012157058884627423;0.0010928855410736325;0.0009209740195052311;0.0;0.003680923939642137
2004;0.055330872839054614;0.02094727659746526;0.018910183781685064;0.008660837435194777;0.0021973570248518997;0.0010564497665526047;;0.0008917727840797411;0.0;0.0006141877558037322;0.0009190108927664873;0.0008957252345361189;0.07164183887651049;0.014092215299827033;0.0060657107290639604;0.008808637996009228;0.03574028159611429;0.022402498325913192;0.040199968834134264;0.025015823357536375;0.036929587248393764;0.0;0.007750381229620393;0.006016054657083254;0.011970884610378514;0.016687902876683692;0.0010333317868533487;0.004802365126236003;0.008976187365867807;0.00668850849041197;0.0046274295197635176;0.008040968832176185;0.008208951596937422;0.027294932661009956;0.034625339033818786;0.03469909342474989;0.002667972698646093;;0.0001548208541948711;0.07401745583676624;;0.012625668025576913;0.0017004036010402888;0.012718180079492384;0.018373907688730942;0.003098018917025408;0.005115971073168171;0.005692047070677565;0.0031120137789535196;0.004364490136299899;0.0018965656082397127;0.023154996799795415;0.0047712725602386714;0.004566171770615309;0.009981357136467797;0.0005922983622513165;0.0055765102820990965;0.007514617877285446;0.0013788839518458777;;;0.008952208129255592;0.0029926237904001904;0.0020058750606208016;0.003195999804751514;0.0007254405514592562;0.008127078442248931;0.0005590348841935964;0.0025723986308966106;0.0011118265454412683;0.00039978616915850584;0.0027711493488221392;0.003436661450082989;0.005191686425471717;0.0033024107253408247;0.0;0.0;0.001049406484391613;0.05054289350679997;0.0007990205370222802;0.0;0.0014847800837011912;0.0;0.005946689979121306;0.0020644661860393394;0.0;0.0;0.0021098449488979112;0.004811796831019815;0.002012240581533864;0.010688063244090535;0.021077647342051874;0.0026433756030986707;0.0;0.004850207888389015;0.0016727790260086732;0.010529087475013672;0.007338504127481309;0.01268137297850538;0.0066057578275021305;0.006068882533195584;0.0017287455417438053;0.0010835549352597878;0.0003007511899205408;0.003636809516757979;0.0028027327394065486;0.004387077562906265;;;0.0025886137532497764;0.004538211152569557;0.0005396488009557599;0.0;0.0;0.0;0.0;0.0028095086487678177;0.0;0.0008493932593794291;0.0007584495463515708;0.0;0.0019900157162747317;0.0006318634561108325;;0.0007365838550648748;0.002465032794146234;0.0026269819561879093;0.0010699222346203959;0.0;0.0;0.0;0.0;0.0005132186719308379;0.006287393234484771;0.0015183025954080126;0.0;0.0
2005;0.06291077758178323;0.029465511904379203;0.018614945313586255;0.00587612403679594;0.003083306081527808;0.0020382884700065403;;0.0019663605151160187;0.0008654797201154377;0.0023700146961549446;0.0010132170574328491;0.0020738376676526877;0.043048632147720874;0.011097612848275918;0.008413329191490038;0.008795378678198018;0.04809751068152716;0.025325728783922336;0.028352013948314724;0.02758011809256629;0.048117902327706547;0.00103275679399115;0.017722704708327725;0.00785457258795122;0.014345721492485081;0.0212658179151447;0.0001898757397973953;0.006190651472129881;0.007298530603312661;0.006390904301865002;0.003770874735419721;0.006263486823626581;0.003676740954769752;0.03527624427666089;0.04209429188378594;0.03259848460833756;0.004832387961958023;;0.0013655329679421984;0.048912382654436926;;0.012964639277051142;0.0024478155151060462;0.005963849470633573;0.014214426334640764;0.005333499223091768;0.007434178454629149;0.0031230440626605622;0.0029990120470281146;0.005767257258225732;0.002686041140570461;0.02616169389440109;0.008569710062546641;0.005023330766905627;0.02600690942895457;0.0009735773374412401;0.008094616423958853;0.007523077388477374;0.002383365799137662;;;0.007408705587774251;0.0036418381008695953;0.0031207404152335592;0.003088705917047121;0.0009105003089141371;0.00858484742239176;0.001028945341331447;0.0054448612257810836;0.0012278282087916847;0.001324501253164198;0.0020483460517147804;0.001579913682139387;0.0059482752635638654;0.002159112302971415;0.0008385949255641844;0.0;0.000347544454537907;0.05398118091833783;0.0026391382996522484;0.0005799116479885382;0.0;0.0;0.003253503190693649;0.0011181481678857895;0.0013756018101159808;0.0014646445104114585;0.0019858822020874475;0.002664142218243079;0.004429126244447506;0.006821136281584762;0.010013809993501733;0.001732156642953441;0.0;0.0;0.0015025134147354762;0.006609926541705021;0.013582348937541656;0.017581962868298908;0.005799581338921845;0.0040511914068776834;0.001391230392495153;0.0011647558009050298;0.0011291483491270785;0.0;0.0023324718217531478;0.0;;;0.0016820395449772603;0.0012609433524125313;0.000594517253815276;0.0;0.0;0.0;0.0;0.0015574163642890972;0.0;0.0;0.001676606852512601;0.000961203363930517;0.0010910359676490882;0.0;;0.00032572199734626927;0.0;0.0;0.001177951436063986;0.0;0.0;0.0;0.0;0.002819115383535303;0.0009605015227753072;0.0004071026675747495;0.0;0.0017209747193874885
2006;0.02222894783219294;0.02583857123364004;0.0124572198437074;0.0029790080899518624;0.0024563947290360097;0.0026572130451161064;;0.001993800717804045;0.0008775401797021597;0.001373168156824982;0.0018492338510722821;0.0026034163528398323;0.05465604116110963;0.01845402569357421;0.020342283737125273;0.012819686839997207;0.03777835344663173;0.028857033940566157;0.03205191945044297;0.021680665282580613;0.041048566934853405;0.011518780287144556;0.016686344397793887;0.004601489238771878;0.016000305034276335;0.009933247038590175;0.007508423092806222;0.00404701377455688;0.008654607402922138;0.008260263632435384;0.0034298775565271625;0.007034785780175732;0.004301567833333374;0.04146204246724717;0.061343512123278876;0.057911020043389515;0.0021303389276611565;;0.0013845737820893226;0.0382880909299637;;0.00813028296114464;0.0015190657743341478;0.005334427864290238;0.013623437280661059;0.0026361491225254147;0.0042233109619761065;0.0031517428362478955;0.0023735842601156337;0.0017065882574963764;0.0023061962174162386;0.02455351918557095;0.0040100648126087;0.0030493906572832616;0.008381003308676156;0.0016352746001213826;0.006953640674136068;0.0038922850630832683;0.0008767205350569227;;;0.006064848519935672;0.004575399840050158;0.0011124555578680031;0.004395774911223294;0.0008046551964231237;0.011096939900197736;0.001463039438975613;0.0019234738797182984;0.0008313506078867082;0.0017936213800509393;0.002557561490510562;0.001923791969601461;0.003909928421185563;0.0037180006343658875;0.0;0.0036172498219714604;0.000705699557133866;0.048178914852199314;0.0026722359503037947;0.0005899086238536914;0.0033458639860580197;0.0;0.002182740295644081;0.0011138594855827735;0.0;0.0014890914607571877;0.0022603408768522306;0.0027131655658089717;0.0029886437767967775;0.00565793016325206;0.018716775075832533;0.001739804647230193;0.002024332469176689;0.0017874138583481272;0.0035745756106502847;0.012800222124497036;0.015258803682511935;0.013109245952809637;0.0;0.0067482369153930655;0.0013729078013029789;0.0019191136410412753;0.0011138714746199837;0.0012664325200151933;0.005141336896111296;0.004582672046620384;;;0.002968401582123529;0.002577690601525192;0.0012046200873821438;0.0021957892424933883;0.0;0.0;0.0;0.003969844259505199;0.004005337313030983;0.0007101345790486206;0.0;0.0;0.004767693288130033;0.0;;0.0023181546354128224;0.0;0.0014908935077044534;0.0;0.0034008971756147597;0.0;0.0;0.0;0.0017089665562265751;0.0018892907376865636;0.0006023345837026303;0.0;0.0034916627355685782
2007;0.024297486213367376;0.04606447500503741;0.020805154165231973;0.007201328265892199;0.006477665376427542;0.00371123641108951;;0.0022491530414171785;0.00042425698387429586;0.0019916212381293225;0.0015893888074841103;0.000968194767123815;0.05615134200949665;0.01827885371957396;0.024745417933568877;0.018323993446637193;0.026787764568199906;0.01942115533663168;0.03067208034644273;0.02460930783633839;0.03901023844012402;0.016706588010150743;0.01582410532195743;0.0058182742036084565;0.015471102131730686;0.011244500586949315;0.015264801865524057;0.0051110497265807325;0.007034258953886771;0.00936411923639559;0.0022290704461400378;0.003117620362406749;0.0024955699835253974;0.02456253158163801;0.05580577062375573;0.0522979851050806;0.002265855861470667;;0.0010040829127830012;0.046711732785340215;;0.005445647157287064;0.0023013989324477827;0.002559413039140737;0.015341702295857167;0.0044510135790418225;0.0028895983114675906;0.0012999469083300721;0.00153553283660519;0.00516058180277514;0.0011603985201526078;0.01638129507288739;0.0015685162198791557;0.00637463666859521;0.004889315947602733;0.0012572682660112193;0.0059397634218317525;0.00679711134783159;0.0014800495734536537;;;0.006425666087936796;0.010109765183688921;0.00250009068206923;0.007375045356475303;0.0006642947380301983;0.01381855913648081;0.0014169932839177848;0.0025615543832000955;0.0;0.0017371689960832518;0.0013158543737175378;0.002482065564850711;0.0020042770098134396;0.002295873557445592;0.0;0.0;0.0009109946702311228;0.020759649384133005;0.008600786248894897;0.0;0.0;0.0022320992919609923;0.004189416246071415;0.004232347529868298;0.0;0.0014436941696927216;0.001964093402000584;0.0032936377780628107;0.0021635353707884766;0.0063815369807698466;0.01985125080651101;0.0009257971186271088;0.0;0.003437440899952099;0.002252717786344374;0.008579397948640776;0.01486035490914154;0.02062833760261265;0.014086095282406027;0.006291812411588185;0.00043065648301812725;0.006513270892790963;0.0011974425215441572;0.004734956190343288;0.0011257609991942696;0.0014278089543045482;;;0.002650706777980432;0.0012563224361992397;0.0011637502408519257;0.0;0.0;0.0;0.0;0.0015440157289051892;0.0;0.0011427818512249413;0.0008260207444315001;0.0;0.002997839427367933;0.0;;0.0014448849249235785;0.0;0.0014526485533784765;0.001151654012235091;0.0032945417957512086;0.002778766611560583;0.0028206671362037174;0.0;0.001097720285868558;0.0;0.0016997119444487668;0.0008246492846892212;0.0016888944985664867
2008;0.027639105310715364;0.06696769806251487;0.022130851203140522;0.00851944616995153;0.011175895279709904;0.01097654044502673;;0.0038012680362689835;0.0012548062514234945;0.0014726338323828572;0.0026442397599168287;0.004152199205104897;0.024965667569460174;0.009010422094142292;0.020642904544666503;0.010626701355515763;0.028646776633525297;0.01981353417713255;0.023624298011090582;0.029653298384299618;0.013751547637055831;0.008984077045108516;0.009406315525856752;0.004808251110999962;0.019135111345452826;0.007967918428986013;0.00247762874445359;0.006613565929117833;0.009685050140953829;0.0075348945862861215;0.004502418004731224;0.002654488628925897;0.0026653762434143704;0.03715875471014075;0.06770202258409211;0.04023229323076535;0.005787760220151922;;0.0004949559765711226;0.030497341687809036;;0.008538468086500384;0.002083032204529981;0.0018781192885050767;0.022526876002870486;0.008926559518697877;0.0026936680759332347;0.0028700655240188125;0.001465027910334419;0.007123559316482355;0.0018451970210400723;0.02404862202013935;0.00262313982151873;0.005788627992660366;0.009157224695957032;0.0013860008542761705;0.009020912588957366;0.003853318972006975;0.0015597423989358113;;;0.005515620415066683;0.012855842476857336;0.004471982239384396;0.006236742927445354;0.000978551789867259;0.015351938518172417;0.002098982663834142;0.00413933603465707;0.0023854236233490523;0.0025732488772504105;0.0029820280971220585;0.002295818418303527;0.004051144410363962;0.0014602601614058;0.0;0.0;0.0008430972102145151;0.01351158151025245;0.016511578777848222;0.0008490336924795196;0.0;0.0;0.007686272464201409;0.004611433193948869;0.0;0.002140642021546503;0.0032605203191096673;0.001956843364168032;0.0031938415062676053;0.010783581931542007;0.007379455811942931;0.0032549304833079384;0.0;0.0;0.00407111981658672;0.0047409668804703495;0.02012295821210952;0.026668092105782023;0.008294535424969234;0.009306144631878984;0.004338806746177233;0.0026086765556220543;0.0012919424286502717;0.0;0.007037262259221627;0.0;0.0013862395678509345;;0.004198522561535081;0.0;0.0017193557149809558;0.0015965445924823161;0.0;0.0;0.0;0.004592152599082349;0.0;0.0027000853533402226;0.0;0.0;0.0051872795497531245;0.0031172270375245956;;0.002380628037493943;0.007943429766482612;0.0;0.0;0.004881316176719585;0.0;0.0;0.0;0.0;0.0012707606411507411;0.0;0.0;0.0
2009;0.027874771785910833;0.052057762565414493;0.019853777613793477;0.011372035852496565;0.012502467370527598;0.008515553147043777;;0.003946447761171535;0.0007444152861545066;0.0023297161319992205;0.0024401924989773454;0.005606131283244239;0.03348572300522545;0.004581799325308261;0.015586374036073445;0.005673864434869672;0.024278254641176045;0.024371482355407374;0.011212132665416534;0.014926411471759712;0.013132632056542094;0.005773960130474883;0.012521700578507638;0.007206323590862736;0.015300468951010894;0.010275984783025612;0.001633180399658152;0.003363006101932478;0.007022483393229844;0.007611233344385757;0.005246738509522252;0.0028180262797353438;0.004378798456473827;0.037401450175966;0.06215187032343492;0.02317256097510197;0.0007228628769415089;;0.0011745286159728077;0.010899176466181146;;0.013367211273611814;0.0009681239422902601;0.014374626616596898;0.017305832342687167;0.0018291597192421794;0.005509779852743023;0.003765968390590925;0.001162992667029248;0.004574914227309071;0.0010253512491314573;0.03067332823373131;0.0027402528544485487;0.00256997734406646;0.00591354891315064;0.0005448407992311382;0.01603264917523344;0.00829993055561274;0.002215602284189574;;;0.0037709184945687937;0.015344545260119125;0.007461713718667151;0.004279997295943665;0.0009637805166401467;0.0331118950029773;0.0028509539194654723;0.0032796730753862097;0.0007087520265540372;0.0030582643610498677;0.006353935154485308;0.004361643602450019;0.0017374478381331786;0.002318349994591701;0.001440197961042749;0.0;0.0012019657958993028;0.02778277249135338;0.015049186042688944;0.0;0.0;0.003909853286818363;0.0018102551761120928;0.007166199014560893;0.0022939716718566885;0.0;0.0022495549994642626;0.004664037282935233;0.002521841440887341;0.009061334629448844;0.026411631300606156;0.0006376117760535954;0.0;0.0029825497903630985;0.005194645287973832;0.010276291556759009;0.009619180777428956;0.031948994133291865;0.007347277629603126;0.009862982992927444;0.0014315207387003762;0.002414269684120845;0.0029821165195257175;0.0038820525145822865;0.004862117837247497;0.0023410607719541025;0.012727962114958698;;0.005485309672649051;0.0;0.004075985564512575;0.0;0.0;0.0;0.0;0.009588308103115938;0.0;0.0015995242089068982;0.0;0.0015937621267282953;0.005203049135723326;0.0024832813607905467;;0.002549099363037818;0.0;0.0;0.0;0.0;0.0;0.01000014307146879;0.0020486501234592567;0.0009562097639838616;0.004387387516480494;0.0003135948271206628;0.0;0.0
2010;0.026910185215869548;0.07868848121847709;0.023648811677573264;0.012960381407187334;0.010880897881338506;0.010789596612500991;;0.0057826826870596764;0.002290688550386731;0.004779227314544236;0.0035756090241571815;0.003331058572695374;0.020475833898170717;0.012532177249411216;0.015225776499545703;0.004203137627316087;0.022910183546585555;0.017918955538966767;0.017250628323142638;0.009295481347352539;0.015919354652274367;0.004555708367078209;0.008097025095617204;0.004311753931000902;0.010631315280541289;0.012226631465921017;0.000670064767708724;0.0017247309483302991;0.008730921367711888;0.011896221259750414;0.00684933697783709;0.001700276541053628;0.004241855392004351;0.02769242113465076;0.04991731420835143;0.010458114830930341;0.0011121709499927635;0.0;0.0024094511196081983;0.012073723707545267;;0.01017605267190831;0.0068070069690329025;0.011255762869674661;0.014251566124584426;0.003780229268807066;0.008476141134695941;0.0038446570031642683;0.004788683832938917;0.004043194431409615;0.0009046974392220291;0.03544922700358222;0.0035524893085807645;0.012274913998591118;0.004034941288041349;0.001110913101559395;0.015380326232323025;0.006896637640565657;0.0022672542294706007;;;0.005970758199395097;0.017214779806109536;0.005082474509686116;0.004615867037328668;0.0011816488569000854;0.023605543812663495;0.002562964896522242;0.0016847847455211146;0.0007281840851588374;0.001571046056129817;0.0033291222850631882;0.003917487166108001;0.001771465302275376;0.0011932008783847048;0.003691497915388756;0.0;0.001028724587127669;0.028220080461304562;0.003082921066379243;0.0;0.0;0.0;0.0073712478820213145;0.003610117879670232;0.0;0.0;0.0023175083766651854;0.0;0.0012910538639629753;0.003826367791306066;0.015133140355793117;0.003239264284138537;0.0035598427481244883;0.009127278355005429;0.004261971578132758;0.005728968725717435;0.017391521786940096;0.016506584050063756;0.022506006907901274;0.0120591205666943;0.0021435591621246954;0.0042252244509745;0.004214731881070257;0.0019245884233329055;0.013552033929846717;0.009284785251771017;0.01736431137220927;;0.005415213676498211;0.00926532284327785;0.004176343998035895;0.0;0.0;0.0;0.0;0.0028256482937993703;0.0;0.0;0.0;0.004859222855258943;0.003434470938337583;0.0;;0.0023304514206590383;0.004852850589849486;0.002674818807214063;0.0;0.0;0.005139197456356446;0.0;0.006281331498092;0.002931936153173118;0.00581979997224653;0.0009387294679470042;0.0;0.0
2011;0.01570472949587187;0.027553360421163568;0.007360670822908158;0.008471227861367876;0.005805738496075541;0.0033582670673350575;;0.005939568195525677;0.00356485242160471;0.0044626014491148044;0.003338739416743179;0.0031103818551915146;0.02713718136859828;0.006582384647481937;0.011373662541516146;0.009056949942393084;0.019532194215134028;0.018797515284105993;0.014497056266390156;0.01174308067487222;0.009909817233752768;0.004679293922732494;0.012253419557214904;0.002588219944043377;0.008508832636223162;0.015353382490654184;0.006569595316709498;0.0025499132436783995;0.008356331741702288;0.010876714325564266;0.01068976252853057;0.004604152849511281;0.003960843742255795;0.02348555338508024;0.06345748012382961;0.029739682918667635;0.0017308166222966379;0.0007664285964069593;0.005343355505282031;0.00709837815825267;;0.013209633382429291;0.0013440370003834105;0.003136725881591774;0.023892689945479197;0.004716307813236561;0.007386354762259461;0.004651821483186084;0.004854256550485664;0.006947761972675018;0.0035272656861767646;0.052516827749183925;0.004358042784473234;0.008992019602732547;0.0031349358059347687;0.0015494963949976579;0.0169135566563131;0.00852978429027608;0.0028181562034831197;0.0009482879388295961;0.0048058260387129435;0.014013808386758001;0.026193483824797317;0.01064919284458422;0.014931409620271952;0.0027509718817707233;0.020120743234198414;0.0003422879624161258;0.004331365586895899;0.0;0.0022030570362505954;0.005687561850314953;0.002614212635062358;0.0028828147799902126;0.003630275173680046;0.0;0.0;0.0005768765052183843;0.028047065617303777;0.0;0.0;0.0;0.0;0.005135695929388333;0.009997854624933031;0.0;0.0;0.0015791870104698324;0.003376447639021629;0.0;0.003062125347001755;0.017023805100788898;0.0021038514920855944;0.0033301670983690856;0.0056600919510435875;0.0061031396737410305;0.008004389423561587;0.027986127995808983;0.028765829526605308;0.009302573612851708;0.010081565021903122;0.007873840664486292;0.00666011153989343;0.004437942024847274;0.007044942059225298;0.011667106252733614;0.002121660452532824;0.010121990879760083;0.0035562998302897573;0.0018471038217286403;0.0021756936538182793;0.0009743525465737043;0.0;0.0;0.0;0.0;0.00397377562749991;0.0;0.0009615889241962728;0.0;0.0;0.0037758426897853653;0.0;0.003720334575029546;0.00027253912011736405;0.00907543351370409;0.002511647963853154;0.0;0.011151008423420585;0.0;0.0;0.0;0.0018206268756313143;0.0053349735289835365;0.0002872814161804698;0.0;0.0
2012;0.01578003248419576;0.020375060368133874;0.008965066495459953;0.006632801565053006;0.006960690292502747;0.0021911920502821767;;0.002959434785727138;0.0006512801567112872;0.002038232355692922;0.0012199333393730061;0.003874405865262366;0.04056391420114495;0.005344707438790722;0.006818104019928535;0.004136628490880695;0.01325412095941128;0.020944748794173348;0.007847485239683566;0.015390829117664673;0.0121857997292291;0.005828690729356317;0.019052125735362673;0.004728508031404213;0.009931618148687283;0.009709541692592924;0.010001876516871804;0.0015937085740121493;0.014894159094622286;0.01564317252531088;0.011267039525816173;0.004495800099935565;0.0021282976008366043;0.041173096966267;0.09720937085846924;0.03203165237993851;0.005375572415782364;0.0038506027794312893;0.002312044922093615;0.00877262847179588;;0.014269762948432874;0.0044456019136529315;0.010454447750650669;0.023140683225434375;0.005396109465952629;0.009830856293982622;0.005539588377832286;0.008715433062037628;0.008685961514272256;0.0029702688096482277;0.04981899248589609;0.007950348229840922;0.01267587420450933;0.0071487976242249115;0.00516927905925872;0.019487447481396566;0.010891448830510131;0.002248996106574494;0.008545595779038719;0.004364973330981031;0.007602504691799587;0.02882088862315192;0.011319744765501261;0.017932950822178367;0.002339360161356181;0.013652028108282739;0.0015651243259880156;0.005041354573204497;0.0;0.0033578525462811654;0.004062315452946074;0.0009556862404458673;0.004871433437460981;0.0020457070897343713;0.0;0.0;0.0022855182444614774;0.04243544096636165;0.0026244770512628694;0.0008911533543700549;0.0;0.0;0.0015561682835429184;0.007529053317717442;0.0019709587438150873;0.0022269722749007083;0.0010854557660177708;0.0030943701170176485;0.0010985376816556726;0.002330708074394957;0.010407146470953995;0.0021831029591084963;0.0;0.0025758537293873495;0.0039291183946177175;0.0056735784549795144;0.006423838197705348;0.013475150396118532;0.010582059530481781;0.004197458192571775;0.0023602079681360414;0.00549651652565015;0.0023433767182108613;0.0015787806069948072;0.004332599546998003;0.0;0.0;0.0;0.0018341006035128879;0.0019988642949860403;0.0008895589453036804;0.0;0.0;0.0;0.0;0.0;0.0030800626574951553;0.0008770229796468392;0.0012821148226157062;0.0040948326444074255;0.0037011735282040403;0.0;0.0017015850950993434;0.0009976936823826808;0.0;0.0;0.0017570104680978932;0.0;0.0044418343878870215;0.0;0.0017772169759289979;0.0;0.002394806969789301;0.0010331282268640051;0.0;0.0
