ano;CISP4 (Praça da República);CISP5 (Mem de Sá);CISP6 (Cidade Nova);CISP7 (Santa Teresa);CISP9 (Catete);CISP10 (Botafogo);CISP11 (Rocinha);CISP12 (Copacaba);CISP13 (Ipanema);CISP14 (Leblon);CISP15 (Gávea);CISP16 (Barra da Tijuca);CISP17 (São Cristovão);CISP18 (Praça da Bandeira);CISP19 (Tijuca);CISP20 (Vila Isabel);CISP21 (Bonsucesso);CISP22 (Penha);CISP23 (Méier);CISP24 (Piedade);CISP25 (Engenho Novo);CISP26 (Todos os Santos);CISP27 (Vicente de Carvalho);CISP28 (Praça de Seca);CISP29 (Madureira);CISP30 (Marechal Hermes);CISP31 (Ricardo de Albuquerque);CISP32 (Taquara);CISP33 (Realengo);CISP34 (Bangu);CISP35 (Campo Grande);CISP36 (Santa Cruz);CISP37 (Ilha do governador);CISP38 (Brás de Pina);CISP39 (Pavuna);CISP40 (Honório Gurgel);CISP41 (Tanque);CISP42 (Recreio dos Bandeirantes);CISP43 (Guaratiba);CISP44 (Inhaúma);CISP45 (Complexo do Alemão);CISP48 (Seropédica);CISP50 (Itaguaí);CISP51 (Paracambi);CISP52 (Nova Iguaçu);CISP53 (Mesquita);CISP54 (Belford Roxo);CISP55 (Queimados);CISP56 (Comendador Soares);CISP57 (Nilópolis);CISP58 (Posse);CISP59 (Duque de Caxias);CISP60 (Campos Elíseos);CISP61 (Xerém);CISP62 (Imbariê);CISP63 (Japeri);CISP64 (São João de Meriti);CISP65 (Magé);CISP66 (Piabetá);CISP67 (Guapimirim);CISP70 (Tanguá);CISP71 (Itaborí);CISP72 (São Gonçalo);CISP73 (Neves);CISP74 (Alcântara);CISP75 (Rio do Ouro);CISP76 (Niterói);CISP77 (Icaraí);CISP78 (Fonseca);CISP79 (Juruba);CISP81 (Itaipu);CISP82 (Maricá);CISP88 (Barra do Piraí);CISP89 (Resende);CISP90 (Barra Mansa);CISP91 (Valença);CISP92 (Rio das Flores);CISP93 (Volta Redonda);CISP94 (Piraí);CISP95 (Vassouras);CISP96 (Miguel Pereira);CISP97 (Mendes);CISP98 (Engenheiro Paulo de Frontin);CISP99 (Itatiaia);CISP100 (Porto Real);CISP101 (Pinheiral);CISP104 (São José do Vale do Rio Preto);CISP105 (Petrópolis);CISP106 (Itaipava);CISP107 (Paraíba do Sul);CISP108 (Três Rios);CISP109 (Sapucaia);CISP110 (Teresópolis);CISP111 (Sumidouro);CISP112 (Carmo);CISP118 (Araruma);CISP119 (Rio Bonito);CISP120 (Silva Jardim);CISP121 (Casimiro de Abreu);CISP122 (Conceição de Macabu);CISP123 (Macaé);CISP124 (Saquarema);CISP125 (São Pedro da Aldeia);CISP126 (Cabo Frio);CISP127 (Armação de Búzios);CISP128 (Rio das Ostras);CISP129 (Iguaba Grande);CISP130 (Quissamã);CISP132 (Arraial do cabo);CISP134 (Campos);CISP135 (Itaocara);CISP136 (Santo Antônio de Pádua);CISP137 (Miracema);CISP138 (Laje do Muriaé);CISP139 (Porciúncula);CISP140 (Natividade);CISP141 (São Fidelis);CISP142 (Cambuci);CISP143 (Itaperuna);CISP144 (Bom Jesus do Itabapoana);CISP145 (São João da Barra);CISP146 (Guarus);CISP147 (São Francisco de Itabapoana);CISP148 (Italva);CISP151 (Nova Friburgo);CISP152 (Duas Barras);CISP153 (Cantagalo);CISP154 (Cordeiro);CISP155 (São Sebastião do Alto);CISP156 (Santa Maria Madalena);CISP157 (Trajano de Moraes);CISP158 (Bom jardim);CISP159 (Cachoeira de Macacu);CISP165 (Mangaratiba);CISP166 (Angra dos Reis);CISP167 (Paraty);CISP168 (Claro)
2003;0.08092828276825226;0.050081158017449126;0.09464170980378121;0.05324255965631456;0.03482589230838889;0.047953994574922866;;0.028341407203826045;0.020595299104664976;0.019018735406709987;0.029814602574390205;0.0357320771254004;0.07972855158692395;0.08941477293869797;0.06111651840173699;0.05003191956846078;0.053269667615191564;0.047161478900257535;0.14311416847281655;0.08051854126318406;0.07067283061392338;0.0;0.030138928678324226;0.0630752906074919;0.03563395303138402;0.05212958385972906;0.0069598744719313555;0.11331460875336352;0.03803525779673156;0.04665290813450089;0.050972719959909984;0.13146263643886574;0.18097483179151613;0.05853398308321295;0.026537951676004045;0.05254531380836169;0.058904036488310864;;0.0;0.08262279267211746;;0.08985112534247985;0.031885246665451616;0.08004687075250644;0.08123125096400742;0.03536764303282424;0.023465011525275248;0.0710483188057634;0.025489542956442575;0.023987236501751996;0.020969993580221207;0.034801070897291085;0.03233342814901865;0.03225186973938927;0.028342225481937856;;0.018737919761730597;0.0750986562934762;0.06456461858886545;;;0.08975006393444149;0.01140801924186245;0.010128524199091445;0.012100808876512105;0.006270145596799796;0.08075968882543687;0.0472141333239354;0.05031891954175796;0.03896030615582595;0.0;0.11403083177990785;0.03807675351802492;0.09205069448629571;0.10506270101126809;0.0;0.0;0.1407807618077336;0.06448343857632877;0.1042658946583393;0.0;0.0;0.1766899888010545;0.13812335390795905;0.026108632976082794;;0.12940277732622127;0.08331711793830864;0.10900678363589103;0.06960431059362085;0.12981991426924538;0.15853678171223468;0.06043727796443296;0.13015882392890504;0.09006729178564171;0.06477559767564062;0.10101036773408315;0.09156819010268413;0.09754861974958995;0.138258064934081;0.07541669085687573;0.05825737065862064;0.0847587242666557;0.043203360158125766;0.03605009567767434;0.07650948949745758;0.0955029862514913;;;0.059533560504501586;0.03827203589698575;0.04482540712543377;0.0;0.0;0.0;;0.021552750045322082;0.0;0.06515312360717959;0.0;0.07621611060155385;0.021486603915795988;;;0.027032942787338646;0.0;0.0;0.0820708697032251;0.05522884310731202;0.0;0.20251965298672556;0.13777286982250792;0.05311673363336973;0.029271409220800577;0.03197376850080681;0.0;0.18968515153995005
2004;0.15575900395393505;0.05147713396947538;0.07735021157257121;0.09813053044527593;0.03801854394842332;0.023795651707068807;;0.02812667017357203;0.0;0.018874798449642148;0.03698610721109512;0.02085979874850366;0.1439271717296716;0.1109219971096174;0.04476827555584513;0.07112506449682987;0.09814018174300769;0.059873279831328896;0.1485863193041891;0.09482494818561592;0.10035969426580688;0.0;0.03364943455452826;0.06607531030426651;0.04066874442812176;0.09053611982194167;0.002960224426356092;0.08702018822226903;0.04645816412487292;0.030009078807892654;0.044749882062950185;0.12002977042096598;0.12494217087354839;0.05233186989616429;0.03906972009917355;0.06553055354259996;0.05456084518651432;;0.004758496337447645;0.16399452018623908;;0.0625050564233874;0.03718545218974713;0.08278107042826596;0.07714259969425162;0.026192957587971525;0.03201633892418183;0.05810593620818144;0.028107356468828025;0.02828096303485625;0.022702069058100356;0.04976076088272007;0.03137869567734931;0.039923355521074906;0.05713547217141199;0.012515616523178445;0.02296081022715275;0.06815702042377399;0.037290472944680714;;;0.06894499349110068;0.012644546397382744;0.01092295659977746;0.011962445372422902;0.006198456572118142;0.0559534135686439;0.028160693980102486;0.02501039489398298;0.0232378374981577;0.015883548629296324;0.07742077993269172;0.15126721002492863;0.15367546799129472;0.11510148226109636;0.0;0.0;0.07362980456835817;0.1333552872301093;0.014761723602585219;0.0;0.25335131089726387;0.0;0.13604761487304642;0.050919955425874526;0.0;0.0;0.08304922591652612;0.1448759241494828;0.10343331741078927;0.15790732354950157;0.10547129052091762;0.1273199723814909;0.0;0.08889344884671137;0.04189846590879774;0.12339421829073981;0.03661179900063187;0.06723587675673437;0.07588292437017215;0.08166790319876446;0.05626925911431142;0.027338238551449578;0.01042999681667284;0.10375663443961108;0.05895316674656291;0.09162153559211779;;;0.07555070306454847;0.1531614840164726;0.022226987294304175;0.0;0.0;0.0;;0.08603666749468053;0.0;0.06456998620910755;0.12839886702425354;0.0;0.05368894830643261;0.11134487010957343;;0.04483578707138321;0.09454978960921713;0.142532188155929;0.0813360475578619;0.0;0.0;0.0;0.0;0.026263268038446322;0.19723457636741626;0.06173738906785492;0.0;0.0
2005;0.15941493624182654;0.06518071181612149;0.06854027421436666;0.05993127686796063;0.04802084630658754;0.04132688926450434;;0.05582716419978843;0.040569745840841935;0.06556174799822674;0.03670614486972889;0.04347387774316582;0.07784912574141666;0.07862964178333946;0.055895245690091855;0.06392736000732623;0.11888575065120499;0.060927991806225594;0.09433119557362792;0.09410706967480907;0.11770905654528879;0.006700807336870731;0.06926327513247643;0.07765480120900527;0.043870767452645655;0.10385335277192716;0.0004896352141139311;0.10097631384059998;0.03400352059534113;0.025810951357635156;0.032825587280000096;0.08416181281056868;0.05037356667137116;0.06088143546512041;0.04275508657293229;0.05541679902655565;0.08895693654448832;;0.03777989846856542;0.09755113322945352;;0.05777494488009866;0.04818568650460265;0.03494226537548304;0.05372054302857335;0.040591119302610584;0.04187886347246028;0.02869778967923727;0.024382319468090014;0.03363940601669073;0.02894200047608632;0.05060884939452375;0.05073236474015876;0.039535285897360654;0.13400570487815808;0.018518273277196816;0.030001246015644068;0.061421093065587636;0.05802019631738282;;;0.05136097007665451;0.013851285533645206;0.01529721220269705;0.010406581747149589;0.00700293585376472;0.05320384661668479;0.04665681256279984;0.04765268883908149;0.02310013909748272;0.04736859046973612;0.051513286148968475;0.06259789398007522;0.15849131373667857;0.06773971717485858;0.08156216277383968;0.0;0.02195020518001661;0.12820673369879682;0.04388939489452708;0.17025391548109808;0.0;0.0;0.06700160219829776;0.024825494843574592;0.15893893927596217;0.12813226066033298;0.07036502536686731;0.07220456549720662;0.20493537300276676;0.09071483201197228;0.045105529903199146;0.07510055364791698;0.0;0.0;0.033876319644637276;0.06972989751539095;0.060996754346338306;0.08391130427089406;0.05997032075074366;0.04907312932251556;0.0407621888755817;0.02645286971281209;0.035248946540396384;0.0;0.044163163422934706;0.0;;;0.04419018039278649;0.03830705453468506;0.022042059198363644;0.0;0.0;0.0;;0.04293151922169581;0.0;0.0;0.2554959669591586;0.07369734382699074;0.02649633311324647;0.0;;0.017847114436808514;0.0;0.0;0.08060770457256683;0.0;0.0;0.0;0.0;0.12986062406128204;0.027122442835257568;0.014900889328016236;0.0;0.09350025101775965
2006;0.05513240215501673;0.0559445333757961;0.04489409837644639;0.02973844876196631;0.03744513313422305;0.05273239501291933;;0.05540490609658923;0.04026210282179271;0.0371798181259435;0.06557105461424381;0.05341722241334766;0.0967423442757074;0.12797699260071813;0.13227895249276117;0.09119976008924925;0.09139749273005651;0.06795018674879555;0.10437813186269222;0.07240737209669176;0.0982845479424726;0.0731508904538292;0.06382903477321315;0.04452749027684486;0.04789224008093996;0.047480328966142946;0.018951166802587724;0.06461032014450092;0.03946570589389604;0.03265274211739053;0.02922355643744211;0.09251962044197358;0.0576833530292237;0.0700385726195947;0.06098419160602577;0.09635833599834108;0.03838404856242299;;0.03749373905169736;0.07474140622197219;;0.03546245641421419;0.02926846852797911;0.030591183793513468;0.05039434509734313;0.019636894959450275;0.02328622110839889;0.028346873339527092;0.018887979923381946;0.009742979742361078;0.024321826923645706;0.04648987761827608;0.023235628351825056;0.02349038990494021;0.04226828299806225;0.030444214696224454;0.025225472830818572;0.031103603236678587;0.020889773061591402;;;0.041152373745069595;0.017032662914276332;0.0053372969734068205;0.014496095387005935;0.006057506978814722;0.06731281265923528;0.06493260796830053;0.01647672680735376;0.015308944863074263;0.06278456829697616;0.06295439613364495;0.07460510084089289;0.10196879014154468;0.11417253885877766;0.0;0.21475837965751557;0.04362466629922485;0.1119978074876785;0.04349669891683008;0.16951341523021266;0.5030042717769033;0.0;0.04399669655646381;0.024205441986867495;0.0;0.12750631236842863;0.07839012484595859;0.0719726681062404;0.13534963002047637;0.0736483817732316;0.08251739630676762;0.07383129969125173;0.12822506624079247;0.028862695789849277;0.0788835421685117;0.13216727991502578;0.06707124697833325;0.06123713682304804;0.0;0.08000835914649145;0.03937167262735341;0.04266017722744288;0.03403410014297156;0.03183315939910627;0.09528046842162323;0.08432248579448162;;;0.07633017867939661;0.07664750521996049;0.04371413149961073;0.4991203310889809;0.0;0.0;;0.10710975969086353;0.501452014804746;0.047562526127986546;0.0;0.0;0.11332848109669888;0.0;;0.12432182419129587;0.0;0.07126968756798456;0.0;0.05429502208858935;0.0;0.0;0.0;0.0770517044368544;0.05221720144577064;0.0215789392541019;0.0;0.18567551028751136
2007;0.06185250883266117;0.10236777250364122;0.07695680521103991;0.07378485077986803;0.10134998728045302;0.07559232584847565;;0.06414952567867209;0.019978662485472566;0.05534753108858666;0.05784401780575835;0.02038958428780885;0.10201089137730217;0.13010611336099068;0.16515578839195438;0.13379638334168223;0.06651746607846136;0.04693772034680863;0.10251954665561701;0.0843563047036862;0.09586803290717337;0.10889522895119061;0.06212754688367626;0.057787240797435045;0.04752981332929484;0.05516588898546376;0.03954452432682818;0.08375009022259884;0.03292295604395262;0.037992743179923315;0.019493337933594534;0.04208372379400108;0.03434799899356977;0.04258608214225411;0.056942392506379017;0.08931430041783836;0.041902730440850564;;0.02790745236136267;0.09359044164005957;;0.024379265641129064;0.045511724712433;0.015064571451423462;0.05824741105553976;0.03403060962748028;0.016352772651612064;0.01200018582183489;0.01254145528128186;0.030239157010079756;0.012560735524136201;0.031834706915625705;0.009328246425156329;0.05040116365804279;0.02530898121666165;0.024024259240921948;0.022115877968058972;0.05574917116321108;0.03619568266101412;;;0.04475082575649825;0.038628027706797075;0.012311257820102808;0.02496251015309217;0.005132782742294369;0.08603303269669574;0.06454796747559251;0.02252144206722095;0.0;0.062412585915309515;0.03324419136307528;0.09879424130883185;0.0536493137750676;0.07236159516034504;0.0;0.0;0.057801096344472926;0.049531386828144335;0.14369035487403292;0.0;0.0;0.1708030606138196;0.08667213256554933;0.09439997907021196;0.0;0.12688009112897258;0.06991293275983386;0.08967576875683496;0.10056685897109109;0.08525873474913889;0.0898277120157888;0.040324019739416926;0.0;0.056971148947638765;0.05102425482539973;0.09092247004594159;0.06704293891123492;0.09890297660572263;0.14632629237993786;0.07656473348218165;0.012675977181031497;0.1486035111935362;0.03755275752952584;0.12215791789791818;0.021413220372566176;0.026965140679321743;;;0.06995894958762523;0.038342137314677574;0.04334504959432599;0.0;0.0;0.0;;0.04275779124628442;0.0;0.07855892892155028;0.12645493579016592;0.0;0.07313867582048535;0.0;;0.07953278638498551;0.0;0.07127328142041602;0.07917046797548659;0.05398455192568571;0.1655173820838389;0.2005366934940522;0.0;0.050798202277311924;0.0;0.06249936232068619;0.2841587309792389;0.0921791769428766
2008;0.047217362725556655;0.09987211988859701;0.05493586664882425;0.05857977892276288;0.11734626820727699;0.15003975273249798;;0.07275866232256771;0.039654808209008394;0.02746426924031471;0.0645819125289641;0.058682092460826916;0.030437666600426946;0.04304033592510755;0.09245950857146164;0.0520720280145578;0.04773717947259416;0.03213591349992483;0.05299124540379461;0.06821390716150842;0.022679243253330435;0.03929853197048127;0.02478371200012876;0.032048424493222816;0.03945096395577484;0.026233552092138505;0.004307379980969495;0.07272649116385854;0.03042034350017367;0.02051599893658607;0.0264234791705666;0.024046594042806294;0.02461908914051108;0.0432352010307992;0.04635963568279263;0.04610973241116446;0.07182941745798294;;0.009232067230481861;0.04100617629372169;;0.025652686327241266;0.02764452556931865;0.0074185896032331455;0.057396553427678125;0.045801181898323585;0.010230097513798983;0.017780171170894584;0.00803001755213952;0.02801236834523847;0.013403938297029861;0.03136350488110085;0.010469217125220257;0.03071443547688623;0.03181062501433429;0.017773269235715858;0.022540693936453776;0.021209516166262897;0.025598537737984626;;;0.025778582948776836;0.032964293954922896;0.014778437017139049;0.01416651977914546;0.005074084034246565;0.06414273343144986;0.06416606419142319;0.024423340769354034;0.030256333117220806;0.06204312570525141;0.050559345872543376;0.061325018354795785;0.07277226984033143;0.030886747166010368;0.0;0.0;0.03589877773946623;0.02163457804695886;0.18512276740527608;0.16804824854464526;0.0;0.0;0.1067145200461715;0.06902529444332138;0.0;0.12625369462861014;0.07788683657799049;0.03575502672964152;0.09962905636269523;0.09668484505478199;0.02240931432357668;0.09514182585184297;0.0;0.0;0.06188217037730661;0.03371810077643417;0.06092526930702373;0.08580623541135753;0.05782366079826306;0.07599842242816436;0.08570428502136902;0.039942195689372774;0.027190180357847517;0.0;0.08982997814881007;0.0;0.019369132520055177;;0.07436350526653898;0.0;0.042976122310213506;0.24996856541371937;0.0;0.0;;0.08534176568452853;0.0;0.12456369490365836;0.0;0.0;0.08492980941891914;0.33335541524575135;;0.08793995768731283;0.18490047679315444;0.0;0.0;0.05367761223995859;0.0;0.0;0.0;0.0;0.02419180587999735;0.0;0.0;0.0
2009;0.03983085283344691;0.06493740580445373;0.041222236831434306;0.06540412268988464;0.10980275279277878;0.09736082846466566;;0.06318196225170497;0.019677277112691616;0.03634183232559028;0.04984994664848533;0.06627064740702768;0.03414745897187398;0.018306154330588457;0.058392411299169195;0.023254955387526137;0.03383989407430189;0.03306291843879003;0.021036039663228128;0.028720094648329454;0.018115874247569674;0.021125508892575303;0.027595652337091048;0.04017573609410862;0.026385292118914265;0.02829868216652438;0.0023748799050138693;0.030932508565337462;0.018449453245815754;0.017334090628231668;0.025755153774422827;0.0213524778664529;0.033829762884278976;0.03639949112808069;0.035597796214570446;0.02221377592358972;0.0075037485905302525;;0.018324263458003896;0.012257771245767829;;0.03359110130533502;0.010746688394229277;0.047492527775180614;0.03688144066281886;0.007850092031145723;0.01750251586560931;0.01951422622673066;0.005331852315551807;0.015047566758960476;0.006230069323190813;0.03345999209117696;0.009147742779842245;0.011405825711922503;0.017182528142404962;0.005843916235879507;0.03350831860215189;0.038212090582662034;0.03041477607578803;;;0.014741523014909401;0.03290999358028183;0.020625170944178716;0.008131662831285358;0.004180060057220672;0.11571743975685268;0.07289828088487164;0.01618584877688484;0.007519269141384721;0.0616761761655192;0.09010793411356467;0.09744978068356905;0.026105409536496933;0.041015827313152536;0.07898834661143575;0.0;0.04280797244023646;0.037209031451708605;0.14112851874232768;0.0;0.0;0.16794029409431324;0.021022195822005593;0.08972051351552017;0.14946171126799981;0.0;0.04494737247691118;0.07128096913298325;0.065799254426185;0.06795447652319118;0.06708570635762864;0.01558894169165467;0.0;0.027747237389183863;0.06604471791515017;0.06113123075934039;0.024359830277070997;0.08598340329729713;0.04284207595507672;0.06737109449755921;0.023651593857646584;0.03091918373767853;0.05249574155359353;0.05621851531701468;0.05191269518704254;0.024817474607517355;0.148751479087585;;0.08126341169331046;0.0;0.08521669110141732;0.0;0.0;0.0;;0.14904514456035609;0.0;0.061721339942035956;0.0;0.06890716524154644;0.07125395293464666;0.22212403188142615;;0.07876114331082933;0.0;0.0;0.0;0.0;0.0;0.3990805242897029;0.06441243269175734;0.02483831533534864;0.0698620086594931;0.0064726400989004425;0.0;0.0
2010;0.03720495217633233;0.0949721737713542;0.04750873894733802;0.07212078839239265;0.09246087767242027;0.11935823385247278;;0.0895760467822716;0.058585689175686205;0.07213354557242362;0.07067509705393206;0.03809921237980026;0.020203010434602483;0.048446606631975385;0.05519078165186604;0.016668094162491473;0.03089696921575998;0.023520562903273763;0.03131529087795636;0.017305259648662634;0.021247544997401405;0.01612742728991846;0.017265478315339238;0.023258399701880053;0.017738624536369048;0.0325780705700507;0.0009427576290652335;0.015349160300488397;0.02219364500779455;0.026213851695319684;0.03253112177614471;0.012465180831682101;0.03170849543557447;0.026076156388523584;0.027662784864390083;0.009700129628041208;0.011170424532575298;0.0;0.036371132494395185;0.013138168885529617;;0.024742213805842364;0.0731098124658503;0.03598151344781783;0.0293868987156841;0.01569701373957254;0.026051947338968033;0.0192756061745098;0.02124188621868958;0.012867190414454463;0.005318624798597569;0.037415149105245994;0.011474449633830387;0.05270983698370111;0.01134362520876047;0.011528962550212256;0.031102025481353837;0.030721295578012273;0.030114025839315373;;;0.022583979543762612;0.035723255182133186;0.013592832402416417;0.008485255761515854;0.004958708707503513;0.07981868504740046;0.06340821472962677;0.008044982884017155;0.007474777646211167;0.030655408809714405;0.045679966975640356;0.0846864741008927;0.025752960678941846;0.020424988392849328;0.19589314458786572;0.0;0.03544928237074284;0.03656847162623075;0.02797305868149293;0.0;0.0;0.0;0.08282378508895648;0.04373207129769595;0.0;0.0;0.04480276162889938;0.0;0.032592924914810584;0.027764406440112223;0.03719115019122555;0.07662711320090829;0.1256949877525513;0.08215786057514399;0.05242863129489169;0.03297455568361618;0.042613728577460354;0.04298237686731004;0.12697501791126764;0.0796997088116586;0.03426683725490579;0.052356161929494945;0.07178689968557671;0.02696693659255929;0.14000010327842122;0.09523411287838528;0.19635219588037006;;0.07762208024587437;0.15357617513874958;0.08448197769048034;0.0;0.0;0.0;;0.04249812163000035;0.0;0.0;0.0;0.20327476971414515;0.045507885843363946;0.0;;0.06966924120072412;0.0914183144181342;0.07127687563531365;0.0;0.0;0.166255081878031;0.0;0.1910862335326901;0.07368842089234962;0.08966416530900928;0.01874687135534604;0.0;0.0
2011;0.023123316531835164;0.035415664010021185;0.015747701575424114;0.05020241933188217;0.05253954986841098;0.03956380079497663;;0.09798351236138604;0.09709629395952249;0.0717304069029722;0.07028044673587872;0.03788637365978776;0.028515095319124946;0.027099151410627055;0.04390591508366561;0.03824986459195989;0.02805265338709509;0.026276714724066327;0.028026376805012836;0.02328219277054056;0.01408589817480819;0.017641077313800532;0.027825695815950277;0.014868345395524318;0.015119538151860068;0.04356705534134582;0.009843680079033404;0.02416708502882514;0.02262141834028271;0.025524375622382498;0.05406972536191974;0.035947140860553436;0.03153138780697676;0.023551525746862055;0.0374509735331784;0.02937623040901197;0.018513340520141128;0.01578601317416403;0.08589905254007993;0.008225993068987306;;0.03420468331341678;0.015373271584917586;0.01067865753992842;0.05246767399418186;0.020856269982633718;0.02417729864449976;0.02483756884761644;0.022931646561196815;0.02354721953897495;0.022083594642205627;0.059030273556517306;0.014990847084969545;0.041121226552917035;0.009385964379562512;0.01712522594386916;0.036424505806654045;0.04046464804052859;0.03986293389739692;0.01250202102344245;0.06467772843450566;0.05644984622758809;0.05788665027317082;0.030331022051760425;0.02923129508280639;0.012294246299022718;0.07245530317382681;0.009018412460939157;0.022026279440023576;0.0;0.04578039509754409;0.08311085803759985;0.06018426743599778;0.0446320520285049;0.06617948753086586;0.0;0.0;0.02117028865772539;0.0387054028917605;0.0;0.0;0.0;0.0;0.06145383084696419;0.12897961676976868;0.0;0.0;0.03251266994241858;0.053171998091978936;0.0;0.023662479229638766;0.04455565047974668;0.05300132935104124;0.12522434591555326;0.05425839124446692;0.07995523061229778;0.04906437946056041;0.07302816135179417;0.0797711260568681;0.055893145413935544;0.07095853704845832;0.13404813304775257;0.08788912091836551;0.08049936784231448;0.1051251844111792;0.12835790759871632;0.02317566254935018;0.12189327323517013;0.4099987788792337;0.028196589819670704;0.038405784056681665;0.020990342892930832;0.0;0.0;0.0;;0.0636488516404525;0.0;0.038233614735647375;0.0;0.0;0.0532814832982287;0.0;0.09657220176901839;0.008676917651841778;0.1820703674544837;0.07127687563531365;0.0;0.10568474690209242;0.0;0.0;0.0;0.04873054748829334;0.08753439226910645;0.0061098631257158345;0.0;0.0
2012;0.02529844278177515;0.028515825767746406;0.0208842809956602;0.04279977841964901;0.06858788655231661;0.0281079681164795;;0.05315855134532034;0.01931502066557611;0.035672628947613715;0.027961104458592217;0.05138551040831146;0.04641049265976281;0.02395866442600626;0.02865844025135288;0.019022197486308838;0.020727173089674745;0.03187953720521707;0.016519004533209404;0.03322538983668361;0.018859890579681075;0.023926656936243792;0.047108405085427296;0.02957684365403049;0.019215637176502973;0.029999851266767193;0.01631798740884204;0.016446519614738652;0.04390220967609008;0.0399713183815146;0.062052910563209905;0.03821975034057444;0.0184481985715864;0.04495707189407486;0.06246757606097962;0.03445127565076956;0.06260725769046005;0.08635663539944659;0.04047033548947276;0.01106942792321104;;0.0402325723257296;0.05536711293620188;0.038753186720822466;0.05533108342185747;0.025982532676389877;0.035037667965911776;0.032205479678438495;0.04482989467832859;0.032053749240367725;0.02024853377438162;0.060972988800390135;0.029777420148487374;0.06311796213144844;0.02330502026766358;0.06220738573355228;0.045696182063910865;0.056258688926808846;0.03463850459019464;0.12267288437484715;0.06396384168067994;0.03334490755680678;0.06935196229780975;0.03510534297789931;0.03822656173704994;0.011383585673358529;0.053529053656549884;0.044900744505840584;0.027914495252860223;0.0;0.07597691392365352;0.06463555928407236;0.023956514702183934;0.08212079029358721;0.04060631105878485;0.0;0.0;0.09132608767723883;0.06376452283582111;0.027613544931727917;0.16552731201014473;0.0;0.0;0.02027554097958286;0.10575986067442433;0.1440777923340095;0.12326024042782469;0.02433309966138796;0.05305929220836458;0.03215849869593597;0.019610623180538515;0.029658149461406186;0.05988418359497406;0.0;0.026886288644874804;0.05604732882160479;0.037867043493112956;0.018251912435971775;0.04068821840194987;0.06922960730722502;0.032168388821372906;0.04375126883174112;0.07897822861184413;0.046282753539581445;0.02565177139029214;0.051900824671421986;0.0;0.0;0.0;0.030485594330455987;0.038419210305259424;0.02086624837435961;0.0;0.0;0.0;;0.0;0.24925720647017943;0.03796934565611289;0.12361229603615877;0.1986344856716732;0.056868018277231015;0.0;0.048093904887386865;0.03458597961816624;0.0;0.0;0.07606860589762701;0.0;0.16662640319121752;0.0;0.0626931327749325;0.0;0.04278417856214814;0.023924584730867792;0.0;0.0
