CISP;LAT;LONG;Nome das CISP’s
1;-22.902876;-43.191611;Praça Mauá
4;-22.903061;-43.186131;Praça da República
5;-22.909893;-43.184305;Mem de Sá
6;-22.908904;-43.19607;Cidade Nova
7;-22.924344;-43.187154;Santa Teresa
9;-22.923777;-43.177498;Catete
10;-22.947793;-43.18626;Botafogo
11;-22.992905;-43.251942;Rocinha
12;-22.967342;-43.184395;Copacaba
13;-22.982681;-43.191077;Ipanema
14;-22.981839;-43.218379;Leblon
15;-22.972161;-43.225903;Gávea
16;-23.010889;-43.296924;Barra da Tijuca
17;-22.904365;-43.218631;São Cristovão
18;-22.913321;-43.214667;Praça da Bandeira
19;-22.930676;-43.244773;Tijuca
20;-22.911243;-43.239488;Vila Isabel
21;-22.872607;-43.258285;Bonsucesso
22;-22.827949;-43.276129;Penha
23;-22.899182;-43.278027;Méier
24;-22.893108;-43.304895;Piedade
25;-22.899823;-43.252376;Engenho Novo
26;-22.902702;-43.290307;Todos os Santos
27;-22.845519;-43.304622;Vicente de Carvalho
28;-22.889237;-43.345955;Praça de Seca
29;-22.868171;-43.343767;Madureira
30;-22.86275;-43.376987;Marechal Hermes
31;-22.836617;-43.396907;Ricardo de Albuquerque
32;-22.926378;-43.375055;Taquara
33;-22.88427;-43.404209;Realengo
34;-22.874359;-43.46317;Bangu
35;-22.904313;-43.566488;Campo Grande
36;-22.915172;-43.68429;Santa Cruz
37;-22.808346;-43.1968;Ilha do governador
38;-22.83669;-43.316752;Brás de Pina
39;-22.805977;-43.363983;Pavuna
40;-22.840613;-43.349061;Honório Gurgel
41;-22.919575;-43.358541;Tanque
42;-23.022764;-43.492045;Recreio dos Bandeirantes
43;-22.983615;-43.661622;Guaratiba
44;-22.873873;-43.285441;Inhaúma
45;-22.860397;-43.269146;Complexo do Alemão
48;-22.802922;-43.642272;Seropédica
50;-22.866212;-43.777024;Itaguaí
51;-22.613721;-43.713313;Paracambi
52;-22.756546;-43.455812;Nova Iguaçu
53;-22.790967;-43.425499;Mesquita
54;-22.751621;-43.403537;Belford Roxo
55;-22.706463;-43.565136;Queimados
